country,field,year,num_patent_granted,complete
China (mainland),Banking and Finance,2017,157,True
Ireland,Banking and Finance,2022,0,False
Argentina,Banking and Finance,2022,0,False
Peru,Banking and Finance,2020,1,False
Canada,Business,2023,0,False
World Intellectual Property Organization (WIPO),Business,2022,6,False
Mexico,Business,2021,6,False
Czechia,Business,2023,1,False
Chile,Business,2018,0,True
Mexico,Energy Management,2020,3,False
Hungary,Energy Management,2023,1,False
Bulgaria,Energy Management,2017,0,True
Luxembourg,Energy Management,2022,2,False
Belgium,Energy Management,2023,0,False
Poland,Industry and Manufacturing,2019,4,True
Turkey,Industry and Manufacturing,2021,0,False
Lithuania,Industry and Manufacturing,2022,0,False
Czechia,Industry and Manufacturing,2022,0,False
Slovenia,Industry and Manufacturing,2022,0,False
Latvia,Industry and Manufacturing,2020,0,False
International Bureau of WIPO,Life Sciences,2016,2,True
Latvia,Life Sciences,2020,0,False
Mexico,Life Sciences,2017,16,True
Mexico,Life Sciences,2022,0,False
South Africa,Life Sciences,2023,0,False
Luxembourg,Life Sciences,2022,7,False
Norway,Life Sciences,2018,0,True
United Kingdom,Life Sciences,2018,61,True
Sweden,Personal Devices and Computing,2016,4,True
Greece,Personal Devices and Computing,2024,0,False
Luxembourg,Personal Devices and Computing,2025,0,False
Taiwan,Personal Devices and Computing,2017,63,True
Ukraine,Personal Devices and Computing,2024,0,False
France,Personal Devices and Computing,2017,37,True
Netherlands,Personal Devices and Computing,2020,7,False
China (mainland),Personal Devices and Computing,2020,24033,False
China (mainland),Personal Devices and Computing,2022,18414,False
Luxembourg,Physical Sciences and Engineering,2019,0,True
South Africa,Physical Sciences and Engineering,2020,0,False
Norway,Physical Sciences and Engineering,2017,0,True
New Zealand,Physical Sciences and Engineering,2021,1,False
Germany,Physical Sciences and Engineering,2018,16,True
Belgium,Physical Sciences and Engineering,2018,1,True
Turkey,Physical Sciences and Engineering,2017,0,True
Czechia,Physical Sciences and Engineering,2017,0,True
Finland,Physical Sciences and Engineering,2018,3,True
Greece,Physical Sciences and Engineering,2016,0,True
Ireland,Physical Sciences and Engineering,2023,0,False
Luxembourg,Security,2022,6,False
Luxembourg,Security,2023,7,False
Sweden,Security,2016,0,True
Netherlands,Security,2016,0,True
European Patent Organization,Security,2022,16,False
Poland,Security,2016,0,True
Spain,Security,2022,2,False
Spain,Security,2023,0,False
Sweden,Telecommunications,2016,3,True
Sweden,Telecommunications,2021,3,False
Italy,Telecommunications,2018,5,True
Israel,Telecommunications,2021,4,False
Luxembourg,Telecommunications,2023,7,False
European Patent Organization,Telecommunications,2017,44,True
Greece,Telecommunications,2022,1,False
Hungary,Telecommunications,2023,0,False
United States,Transportation,2018,1488,True
South Korea,Transportation,2019,466,True
South Korea,Transportation,2021,300,False
Serbia,Transportation,2017,1,True
Serbia,Transportation,2018,1,True
Taiwan,Agriculture,2020,1,False
Belgium,Agriculture,2021,0,False
Lithuania,Agriculture,2016,0,True
Austria,Agriculture,2021,1,False
Brazil,Agriculture,2020,12,False
France,Agriculture,2018,0,True
Spain,Agriculture,2020,6,False
Spain,Agriculture,2022,0,False
Canada,Agriculture,2023,0,False
Croatia,All,2020,1,False
South Africa,All,2021,22,False
China (mainland),All,2020,42899,False
China (mainland),All,2023,34407,False
Philippines,All,2019,12,True
United States,All,2019,13804,True
Greece,Banking and Finance,2022,0,False
Israel,Banking and Finance,2017,1,True
Netherlands,Banking and Finance,2022,1,False
Austria,Business,2022,0,False
Lithuania,Business,2022,0,False
Switzerland,Business,2017,0,True
Switzerland,Business,2018,0,True
Greece,Business,2020,0,False
Greece,Business,2022,3,False
New Zealand,Business,2022,1,False
Sweden,Business,2018,0,True
Lithuania,Energy Management,2019,0,True
Portugal,Energy Management,2018,1,True
Denmark,Energy Management,2016,1,True
Greece,Energy Management,2017,0,True
Taiwan,Energy Management,2018,7,True
Canada,Energy Management,2016,7,True
European Patent Organization,Energy Management,2024,0,False
Netherlands,Industry and Manufacturing,2019,1,True
Estonia,Industry and Manufacturing,2022,0,False
Denmark,Industry and Manufacturing,2021,1,False
European Patent Organization,Industry and Manufacturing,2022,14,False
World Intellectual Property Organization (WIPO),Industry and Manufacturing,2019,10,True
Mexico,Industry and Manufacturing,2016,5,True
Finland,Industry and Manufacturing,2016,1,True
Australia,Industry and Manufacturing,2022,5,False
Czechia,Industry and Manufacturing,2018,0,True
Switzerland,Life Sciences,2019,0,True
Czechia,Life Sciences,2017,0,True
Philippines,Life Sciences,2018,1,True
Russia,Life Sciences,2021,15,False
Canada,Life Sciences,2020,160,False
Singapore,Personal Devices and Computing,2020,18,False
Denmark,Personal Devices and Computing,2021,1,False
Hungary,Personal Devices and Computing,2023,1,False
Spain,Personal Devices and Computing,2017,39,True
China (mainland),Personal Devices and Computing,2018,6474,True
Australia,Personal Devices and Computing,2023,18,False
Sweden,Physical Sciences and Engineering,2017,2,True
Chile,Physical Sciences and Engineering,2018,1,True
South Africa,Physical Sciences and Engineering,2024,0,False
Peru,Physical Sciences and Engineering,2023,0,False
Malaysia,Physical Sciences and Engineering,2022,1,False
Germany,Physical Sciences and Engineering,2023,12,False
Poland,Physical Sciences and Engineering,2019,1,True
International Bureau of WIPO,Physical Sciences and Engineering,2018,0,True
Croatia,Physical Sciences and Engineering,2018,0,True
China (mainland),Physical Sciences and Engineering,2017,182,True
Tunisia,Physical Sciences and Engineering,2021,0,False
New Zealand,Security,2020,0,False
Netherlands,Security,2020,1,False
Canada,Security,2021,25,False
European Patent Organization,Security,2016,7,True
Poland,Security,2019,1,True
Belgium,Security,2017,0,True
China (mainland),Security,2017,202,True
China (mainland),Security,2018,399,True
Denmark,Telecommunications,2022,0,False
Australia,Telecommunications,2023,9,False
Luxembourg,Telecommunications,2016,0,True
Hungary,Telecommunications,2022,1,False
France,Telecommunications,2016,11,True
Uruguay,Telecommunications,2020,0,False
Taiwan,Transportation,2022,10,False
Slovenia,Transportation,2019,0,True
Canada,Transportation,2016,44,True
Belgium,Transportation,2021,0,False
Mexico,Transportation,2020,7,False
Philippines,Transportation,2019,1,True
Ukraine,Transportation,2022,0,False
Ukraine,Transportation,2023,0,False
Singapore,Agriculture,2018,0,True
Denmark,Agriculture,2018,2,True
European Patent Organization,Agriculture,2022,2,False
Luxembourg,Agriculture,2018,0,True
Italy,Agriculture,2018,0,True
Poland,Agriculture,2017,1,True
World Intellectual Property Organization (WIPO),All,2020,117,False
European Patent Organization,All,2023,113,False
Luxembourg,All,2023,80,False
New Zealand,All,2018,13,True
San Marino,All,2018,1,True
Greece,All,2019,3,True
China (mainland),All,2022,43929,False
Spain,All,2024,5,False
Lithuania,Banking and Finance,2020,0,False
Switzerland,Banking and Finance,2017,0,True
European Patent Organization,Banking and Finance,2021,11,False
United Kingdom,Banking and Finance,2024,1,False
Netherlands,Banking and Finance,2024,0,False
United States,Business,2016,867,True
Singapore,Business,2020,8,False
Brazil,Business,2020,10,False
Taiwan,Business,2024,1,False
Peru,Business,2020,2,False
Philippines,Business,2016,0,True
Philippines,Business,2017,1,True
Romania,Business,2021,0,False
Hungary,Business,2018,1,True
Brazil,Energy Management,2018,2,True
Switzerland,Energy Management,2016,1,True
Peru,Energy Management,2021,0,False
Denmark,Energy Management,2023,0,False
Singapore,Energy Management,2020,0,False
Bulgaria,Energy Management,2021,0,False
Luxembourg,Energy Management,2021,2,False
Luxembourg,Energy Management,2025,0,False
Hungary,Industry and Manufacturing,2019,0,True
Spain,Industry and Manufacturing,2022,6,False
Belgium,Industry and Manufacturing,2019,0,True
Belgium,Industry and Manufacturing,2023,0,False
Taiwan,Industry and Manufacturing,2017,11,True
Sweden,Industry and Manufacturing,2021,3,False
Luxembourg,Industry and Manufacturing,2018,0,True
Luxembourg,Industry and Manufacturing,2023,5,False
Morocco,Industry and Manufacturing,2022,0,False
Australia,Industry and Manufacturing,2023,1,False
Philippines,Industry and Manufacturing,2016,0,True
Lithuania,Industry and Manufacturing,2017,1,True
Brazil,Life Sciences,2021,11,False
South Korea,Life Sciences,2018,510,True
Taiwan,Life Sciences,2018,44,True
Netherlands,Life Sciences,2016,0,True
Japan,Life Sciences,2018,491,True
France,Life Sciences,2019,18,True
Luxembourg,Life Sciences,2023,11,False
Bulgaria,Personal Devices and Computing,2022,0,False
Sweden,Personal Devices and Computing,2019,2,True
Peru,Personal Devices and Computing,2016,0,True
Belgium,Personal Devices and Computing,2020,1,False
Ukraine,Personal Devices and Computing,2021,0,False
Romania,Personal Devices and Computing,2022,0,False
South Korea,Personal Devices and Computing,2020,1853,False
Mexico,Personal Devices and Computing,2017,21,True
Ukraine,Physical Sciences and Engineering,2022,0,False
Hungary,Physical Sciences and Engineering,2019,1,True
Malaysia,Physical Sciences and Engineering,2019,1,True
Turkey,Physical Sciences and Engineering,2016,0,True
United States,Physical Sciences and Engineering,2017,208,True
Israel,Physical Sciences and Engineering,2020,0,False
Sweden,Security,2021,2,False
Singapore,Security,2016,7,True
Singapore,Security,2018,19,True
Switzerland,Security,2022,0,False
Costa Rica,Telecommunications,2020,0,False
Italy,Telecommunications,2020,5,False
New Zealand,Telecommunications,2020,2,False
Croatia,Telecommunications,2022,0,False
Taiwan,Telecommunications,2022,30,False
Australia,Transportation,2024,0,False
Italy,Transportation,2018,4,True
Slovenia,Transportation,2018,0,True
Morocco,Transportation,2018,0,True
Singapore,Transportation,2018,12,True
China (mainland),Transportation,2016,271,True
China (mainland),Transportation,2020,3272,False
Luxembourg,Transportation,2020,1,False
Australia,Agriculture,2017,14,True
Taiwan,Agriculture,2017,1,True
World Intellectual Property Organization (WIPO),Agriculture,2018,1,True
World Intellectual Property Organization (WIPO),Agriculture,2021,1,False
Belgium,Agriculture,2023,0,False
Czechia,Agriculture,2017,0,True
Poland,Agriculture,2019,1,True
Malaysia,All,2016,11,True
Singapore,All,2021,3,False
New Zealand,All,2020,7,False
Morocco,All,2017,2,True
Japan,All,2019,3576,True
Spain,All,2020,90,False
Hungary,Banking and Finance,2019,0,True
Turkey,Banking and Finance,2020,0,False
Lithuania,Banking and Finance,2019,0,True
South Korea,Banking and Finance,2022,167,False
Luxembourg,Banking and Finance,2022,1,False
Ireland,Banking and Finance,2016,0,True
Germany,Banking and Finance,2016,13,True
Argentina,Banking and Finance,2019,0,True
Finland,Banking and Finance,2018,0,True
Slovenia,Business,2018,0,True
Bulgaria,Business,2022,0,False
Bulgaria,Business,2024,2,False
Sri Lanka,Business,2016,0,True
United Kingdom,Business,2018,34,True
China (mainland),Business,2020,4340,False
Estonia,Business,2022,0,False
Japan,Business,2019,297,True
Czechia,Business,2018,0,True
Ukraine,Business,2018,0,True
China (mainland),Energy Management,2021,2645,False
Poland,Energy Management,2022,0,False
Ukraine,Energy Management,2021,0,False
Denmark,Energy Management,2022,1,False
South Korea,Energy Management,2018,173,True
Israel,Energy Management,2016,0,True
Italy,Energy Management,2017,1,True
Kenya,Energy Management,2016,0,True
Costa Rica,Energy Management,2020,0,False
Czechia,Energy Management,2017,0,True
Germany,Industry and Manufacturing,2020,77,False
Serbia,Industry and Manufacturing,2020,1,False
United Kingdom,Industry and Manufacturing,2016,11,True
India,Industry and Manufacturing,2020,0,False
Norway,Industry and Manufacturing,2017,0,True
Lithuania,Industry and Manufacturing,2018,0,True
South Korea,Industry and Manufacturing,2024,7,False
Romania,Industry and Manufacturing,2022,0,False
Russia,Industry and Manufacturing,2019,6,True
South Korea,Life Sciences,2019,719,True
Poland,Life Sciences,2017,4,True
Switzerland,Life Sciences,2016,2,True
Czechia,Life Sciences,2021,1,False
Israel,Life Sciences,2022,0,False
India,Life Sciences,2016,19,True
Philippines,Life Sciences,2016,1,True
Argentina,Life Sciences,2019,1,True
Morocco,Life Sciences,2017,0,True
Russia,Life Sciences,2016,30,True
Costa Rica,Life Sciences,2020,0,False
China (mainland),Life Sciences,2023,2428,False
Canada,Personal Devices and Computing,2023,2,False
India,Personal Devices and Computing,2018,127,True
United States,Personal Devices and Computing,2020,7241,False
World Intellectual Property Organization (WIPO),Personal Devices and Computing,2019,60,True
Norway,Personal Devices and Computing,2018,1,True
Germany,Personal Devices and Computing,2021,84,False
Spain,Personal Devices and Computing,2023,2,False
France,Personal Devices and Computing,2023,9,False
Switzerland,Physical Sciences and Engineering,2017,0,True
Malaysia,Physical Sciences and Engineering,2016,0,True
Germany,Physical Sciences and Engineering,2016,8,True
European Patent Organization,Physical Sciences and Engineering,2022,7,False
Slovenia,Physical Sciences and Engineering,2016,0,True
Finland,Physical Sciences and Engineering,2020,1,False
Lithuania,Security,2018,0,True
Netherlands,Security,2023,0,False
Peru,Security,2018,0,True
Poland,Security,2020,1,False
Taiwan,Security,2022,5,False
Ireland,Security,2018,0,True
Spain,Security,2017,1,True
Australia,Telecommunications,2017,48,True
Canada,Telecommunications,2018,90,True
Canada,Telecommunications,2020,96,False
Switzerland,Telecommunications,2017,0,True
Czechia,Telecommunications,2020,0,False
Luxembourg,Telecommunications,2024,9,False
Eurasian Patent Organization,Telecommunications,2018,0,True
Philippines,Telecommunications,2017,0,True
Mexico,Telecommunications,2016,8,True
United Kingdom,Telecommunications,2024,2,False
United States,Telecommunications,2016,1226,True
Uruguay,Telecommunications,2017,0,True
Colombia,Transportation,2019,0,True
Greece,Transportation,2018,0,True
Sweden,Transportation,2017,5,True
Sweden,Transportation,2019,1,True
Czechia,Transportation,2019,0,True
France,Transportation,2017,12,True
European Patent Organization,Transportation,2020,54,False
Denmark,Agriculture,2020,2,False
Peru,Agriculture,2022,0,False
Romania,Agriculture,2021,0,False
Sweden,Agriculture,2023,0,False
Croatia,Agriculture,2018,1,True
Mexico,Agriculture,2016,2,True
Finland,Agriculture,2019,0,True
South Korea,Agriculture,2017,27,True
Norway,Agriculture,2018,1,True
Norway,Agriculture,2020,1,False
Ukraine,Agriculture,2016,0,True
Luxembourg,Agriculture,2019,0,True
Canada,All,2022,113,False
Greece,All,2023,15,False
Russia,All,2021,55,False
Romania,All,2018,1,True
Morocco,All,2021,1,False
Norway,All,2017,2,True
South Korea,All,2020,6015,False
Italy,All,2020,25,False
Brazil,All,2017,72,True
Hungary,Banking and Finance,2020,3,False
Ukraine,Banking and Finance,2023,0,False
Turkey,Banking and Finance,2018,1,True
Saudi Arabia,Banking and Finance,2021,0,False
United States,Banking and Finance,2019,718,True
United States,Banking and Finance,2020,688,False
South Korea,Banking and Finance,2021,183,False
Mexico,Banking and Finance,2021,3,False
Luxembourg,Banking and Finance,2018,0,True
European Patent Organization,Banking and Finance,2024,0,False
Italy,Business,2017,2,True
Italy,Business,2019,1,True
Austria,Business,2021,1,False
Portugal,Business,2021,0,False
Australia,Business,2017,33,True
Poland,Business,2020,2,False
Greece,Business,2023,4,False
Iran,Business,2018,0,True
Brazil,Energy Management,2017,2,True
Germany,Energy Management,2023,13,False
South Korea,Energy Management,2019,306,True
South Korea,Energy Management,2023,101,False
Turkey,Energy Management,2016,0,True
Canada,Energy Management,2017,12,True
France,Energy Management,2017,5,True
France,Industry and Manufacturing,2019,8,True
Taiwan,Industry and Manufacturing,2021,20,False
Australia,Industry and Manufacturing,2021,62,False
Ireland,Industry and Manufacturing,2022,0,False
Ukraine,Life Sciences,2017,0,True
Japan,Life Sciences,2017,337,True
United States,Life Sciences,2017,1059,True
Australia,Life Sciences,2018,135,True
Romania,Life Sciences,2019,0,True
Germany,Life Sciences,2019,72,True
Philippines,Personal Devices and Computing,2022,0,False
United States,Personal Devices and Computing,2017,4616,True
South Africa,Personal Devices and Computing,2021,0,False
Czechia,Personal Devices and Computing,2023,0,False
South Korea,Personal Devices and Computing,2024,42,False
Australia,Personal Devices and Computing,2022,24,False
Luxembourg,Physical Sciences and Engineering,2024,5,False
Japan,Physical Sciences and Engineering,2021,97,False
Spain,Physical Sciences and Engineering,2020,4,False
United Kingdom,Physical Sciences and Engineering,2019,35,True
Poland,Physical Sciences and Engineering,2017,3,True
Eurasian Patent Organization,Physical Sciences and Engineering,2016,0,True
Morocco,Physical Sciences and Engineering,2020,0,False
China (mainland),Physical Sciences and Engineering,2018,371,True
Argentina,Physical Sciences and Engineering,2022,2,False
Brazil,Physical Sciences and Engineering,2016,7,True
Ireland,Physical Sciences and Engineering,2016,0,True
Luxembourg,Security,2025,0,False
Morocco,Security,2021,0,False
Netherlands,Security,2017,0,True
International Bureau of WIPO,Security,2017,0,True
Czechia,Security,2023,0,False
Iran,Security,2018,1,True
Taiwan,Security,2021,8,False
Spain,Security,2019,7,True
South Africa,Security,2021,0,False
Turkey,Security,2017,0,True
China (mainland),Security,2022,1243,False
Brazil,Security,2018,5,True
Denmark,Telecommunications,2016,3,True
Spain,Telecommunications,2023,3,False
Singapore,Telecommunications,2019,22,True
Italy,Telecommunications,2016,1,True
Philippines,Telecommunications,2022,0,False
Argentina,Telecommunications,2020,1,False
Sri Lanka,Transportation,2016,0,True
Finland,Transportation,2016,0,True
Greece,Transportation,2019,0,True
Portugal,Transportation,2021,0,False
Bulgaria,Transportation,2017,0,True
South Africa,Transportation,2017,0,True
Switzerland,Transportation,2019,0,True
Singapore,Transportation,2016,2,True
Japan,Transportation,2020,231,False
Malaysia,Transportation,2018,2,True
Malaysia,Transportation,2019,0,True
France,Transportation,2021,30,False
Luxembourg,Transportation,2025,1,False
Denmark,Agriculture,2017,0,True
Israel,Agriculture,2016,0,True
Morocco,Agriculture,2022,1,False
Philippines,Agriculture,2019,1,True
South Africa,Agriculture,2022,0,False
Brazil,Agriculture,2018,17,True
Finland,Agriculture,2017,0,True
China (mainland),Agriculture,2018,140,True
Italy,Agriculture,2019,3,True
Argentina,Agriculture,2022,0,False
Mexico,All,2016,31,True
Bulgaria,All,2020,10,False
Kenya,All,2016,1,True
Greece,All,2024,1,False
United Kingdom,All,2018,264,True
United Kingdom,All,2020,257,False
China (mainland),All,2019,27018,True
Iran,All,2018,1,True
Russia,All,2018,196,True
Romania,All,2021,2,False
United States,All,2021,9209,False
South Korea,All,2019,5082,True
Hungary,All,2019,8,True
San Marino,Banking and Finance,2020,0,False
Romania,Banking and Finance,2021,0,False
United States,Banking and Finance,2023,57,False
South Africa,Banking and Finance,2018,0,True
Norway,Banking and Finance,2022,0,False
Germany,Banking and Finance,2017,11,True
Canada,Business,2017,40,True
Denmark,Business,2022,0,False
Mexico,Business,2019,17,True
Peru,Business,2016,0,True
Peru,Business,2017,0,True
European Patent Organization,Business,2018,30,True
South Africa,Business,2021,0,False
Netherlands,Energy Management,2023,2,False
Portugal,Energy Management,2021,0,False
Australia,Energy Management,2021,46,False
Denmark,Energy Management,2021,0,False
Latvia,Energy Management,2020,0,False
Bulgaria,Energy Management,2018,0,True
European Patent Organization,Energy Management,2023,5,False
Germany,Industry and Manufacturing,2022,31,False
United Kingdom,Industry and Manufacturing,2021,7,False
European Patent Organization,Industry and Manufacturing,2019,57,True
China (mainland),Industry and Manufacturing,2020,2085,False
Saudi Arabia,Industry and Manufacturing,2021,0,False
Austria,Industry and Manufacturing,2021,2,False
Sweden,Industry and Manufacturing,2020,4,False
Morocco,Industry and Manufacturing,2020,0,False
Lithuania,Industry and Manufacturing,2020,0,False
Brazil,Industry and Manufacturing,2017,4,True
European Patent Organization,Life Sciences,2016,15,True
Netherlands,Life Sciences,2022,11,False
International Bureau of WIPO,Life Sciences,2018,1,True
Israel,Life Sciences,2018,0,True
San Marino,Life Sciences,2020,0,False
United States,Life Sciences,2019,1730,True
Morocco,Life Sciences,2020,0,False
Turkey,Life Sciences,2020,0,False
Greece,Life Sciences,2020,0,False
Morocco,Personal Devices and Computing,2016,1,True
Morocco,Personal Devices and Computing,2022,1,False
Norway,Personal Devices and Computing,2016,1,True
Russia,Personal Devices and Computing,2016,62,True
Brazil,Personal Devices and Computing,2022,0,False
Germany,Personal Devices and Computing,2022,70,False
Turkey,Personal Devices and Computing,2016,0,True
Netherlands,Personal Devices and Computing,2024,1,False
China (mainland),Personal Devices and Computing,2016,1960,True
Philippines,Physical Sciences and Engineering,2019,1,True
Ukraine,Physical Sciences and Engineering,2021,0,False
India,Physical Sciences and Engineering,2016,1,True
Norway,Physical Sciences and Engineering,2016,0,True
New Zealand,Physical Sciences and Engineering,2020,0,False
Belgium,Physical Sciences and Engineering,2023,0,False
European Patent Organization,Physical Sciences and Engineering,2019,19,True
Czechia,Physical Sciences and Engineering,2021,0,False
Slovenia,Security,2023,0,False
China (mainland),Security,2019,576,True
Mexico,Security,2016,4,True
Netherlands,Telecommunications,2018,1,True
Switzerland,Telecommunications,2020,0,False
European Patent Organization,Telecommunications,2020,138,False
South Korea,Telecommunications,2021,944,False
Greece,Telecommunications,2018,0,True
United States,Telecommunications,2020,3353,False
United States,Telecommunications,2023,373,False
Italy,Transportation,2022,1,False
Slovenia,Transportation,2023,0,False
Bulgaria,Transportation,2021,0,False
Brazil,Transportation,2021,2,False
Croatia,Transportation,2018,0,True
Czechia,Transportation,2022,1,False
Iran,Transportation,2018,0,True
Ukraine,Transportation,2018,0,True
Slovakia,Transportation,2021,0,False
Argentina,Transportation,2022,0,False
Uruguay,Agriculture,2020,1,False
Mexico,Agriculture,2020,11,False
International Bureau of WIPO,Agriculture,2018,0,True
International Bureau of WIPO,All,2017,12,True
Portugal,All,2016,6,True
Australia,All,2022,85,False
United Kingdom,All,2022,157,False
Norway,All,2019,5,True
Denmark,All,2019,25,True
Argentina,All,2020,8,False
Japan,All,2023,353,False
World Intellectual Property Organization (WIPO),Banking and Finance,2017,1,True
Costa Rica,Banking and Finance,2020,0,False
Luxembourg,Banking and Finance,2024,3,False
Germany,Banking and Finance,2020,13,False
Poland,Banking and Finance,2017,1,True
Denmark,Banking and Finance,2019,0,True
New Zealand,Banking and Finance,2020,1,False
Sweden,Banking and Finance,2019,0,True
Uruguay,Banking and Finance,2020,0,False
Luxembourg,Business,2025,0,False
Tunisia,Business,2021,0,False
United Kingdom,Business,2017,16,True
Greece,Business,2019,0,True
Russia,Business,2019,16,True
Norway,Business,2020,0,False
Serbia,Business,2021,0,False
France,Business,2023,6,False
Poland,Energy Management,2017,0,True
Malaysia,Energy Management,2017,1,True
Argentina,Energy Management,2017,1,True
Bulgaria,Energy Management,2024,1,False
United States,Energy Management,2024,4,False
France,Energy Management,2018,5,True
Denmark,Industry and Manufacturing,2022,1,False
European Patent Organization,Industry and Manufacturing,2016,4,True
China (mainland),Industry and Manufacturing,2018,659,True
Italy,Industry and Manufacturing,2022,0,False
Morocco,Industry and Manufacturing,2016,0,True
Australia,Industry and Manufacturing,2017,18,True
Croatia,Life Sciences,2018,0,True
New Zealand,Life Sciences,2016,3,True
Ukraine,Life Sciences,2018,0,True
Morocco,Life Sciences,2021,0,False
South Africa,Life Sciences,2016,0,True
Chile,Life Sciences,2018,0,True
Luxembourg,Life Sciences,2018,3,True
Canada,Life Sciences,2017,123,True
Finland,Life Sciences,2016,3,True
Denmark,Personal Devices and Computing,2020,7,False
Lithuania,Personal Devices and Computing,2022,0,False
Greece,Personal Devices and Computing,2017,5,True
Peru,Personal Devices and Computing,2019,1,True
Luxembourg,Personal Devices and Computing,2019,5,True
Luxembourg,Personal Devices and Computing,2021,9,False
Sri Lanka,Personal Devices and Computing,2016,0,True
Finland,Personal Devices and Computing,2018,10,True
Spain,Personal Devices and Computing,2024,0,False
World Intellectual Property Organization (WIPO),Physical Sciences and Engineering,2020,5,False
Italy,Physical Sciences and Engineering,2017,0,True
Peru,Physical Sciences and Engineering,2020,2,False
Turkey,Physical Sciences and Engineering,2021,0,False
Finland,Physical Sciences and Engineering,2019,2,True
Finland,Physical Sciences and Engineering,2021,2,False
Croatia,Physical Sciences and Engineering,2022,1,False
China (mainland),Physical Sciences and Engineering,2025,58,False
Canada,Physical Sciences and Engineering,2021,20,False
Ireland,Physical Sciences and Engineering,2022,0,False
Uruguay,Physical Sciences and Engineering,2017,0,True
South Korea,Security,2024,4,False
Singapore,Security,2017,9,True
Japan,Security,2020,109,False
United States,Security,2020,1000,False
Slovenia,Security,2022,0,False
France,Security,2023,2,False
Hungary,Security,2020,2,False
India,Security,2019,2,True
Turkey,Security,2021,0,False
Mexico,Security,2020,2,False
Australia,Telecommunications,2020,141,False
Australia,Telecommunications,2022,18,False
Sweden,Telecommunications,2023,2,False
Mexico,Telecommunications,2021,11,False
United Kingdom,Telecommunications,2021,38,False
International Bureau of WIPO,Telecommunications,2016,1,True
Greece,Transportation,2016,0,True
United Kingdom,Transportation,2023,4,False
South Africa,Transportation,2022,0,False
Kenya,Transportation,2016,1,True
Japan,Transportation,2017,355,True
Cuba,Transportation,2020,0,False
World Intellectual Property Organization (WIPO),Transportation,2020,6,False
Portugal,Agriculture,2020,0,False
Saudi Arabia,Agriculture,2021,0,False
France,Agriculture,2019,1,True
Canada,Agriculture,2020,29,False
Bulgaria,Agriculture,2021,0,False
World Intellectual Property Organization (WIPO),All,2018,39,True
Canada,All,2016,285,True
Singapore,All,2018,146,True
Singapore,All,2020,31,False
Bulgaria,All,2017,2,True
Portugal,All,2019,5,True
Australia,All,2023,49,False
Romania,All,2017,1,True
Denmark,All,2021,7,False
Argentina,All,2022,3,False
Estonia,All,2022,1,False
Switzerland,All,2019,1,True
Poland,All,2023,3,False
Romania,Banking and Finance,2016,0,True
Mexico,Banking and Finance,2016,2,True
Italy,Banking and Finance,2018,1,True
Netherlands,Banking and Finance,2023,0,False
Peru,Banking and Finance,2022,2,False
United States,Business,2023,138,False
Italy,Business,2022,0,False
Netherlands,Business,2018,0,True
Netherlands,Business,2023,3,False
Portugal,Business,2020,1,False
United Kingdom,Business,2022,13,False
Lithuania,Business,2019,0,True
Poland,Business,2016,0,True
Switzerland,Business,2021,0,False
Russia,Business,2018,12,True
China (mainland),Energy Management,2022,2658,False
Netherlands,Energy Management,2022,5,False
Switzerland,Energy Management,2020,0,False
Japan,Energy Management,2016,39,True
Japan,Energy Management,2017,71,True
Japan,Energy Management,2024,0,False
Norway,Energy Management,2016,0,True
Turkey,Energy Management,2021,0,False
Belgium,Energy Management,2022,0,False
Canada,Energy Management,2020,12,False
Croatia,Energy Management,2020,0,False
Serbia,Industry and Manufacturing,2021,0,False
Greece,Industry and Manufacturing,2024,0,False
Mexico,Industry and Manufacturing,2020,13,False
Malaysia,Industry and Manufacturing,2019,1,True
Switzerland,Industry and Manufacturing,2017,0,True
Romania,Industry and Manufacturing,2018,0,True
South Korea,Life Sciences,2021,1030,False
Hungary,Life Sciences,2016,0,True
Morocco,Life Sciences,2018,1,True
Bulgaria,Life Sciences,2020,0,False
Bulgaria,Life Sciences,2022,0,False
Turkey,Life Sciences,2019,0,True
Austria,Life Sciences,2019,0,True
Romania,Life Sciences,2018,1,True
Denmark,Life Sciences,2019,10,True
Malaysia,Life Sciences,2018,2,True
Germany,Life Sciences,2021,45,False
Denmark,Personal Devices and Computing,2016,2,True
Morocco,Personal Devices and Computing,2018,1,True
Portugal,Personal Devices and Computing,2019,4,True
United Kingdom,Personal Devices and Computing,2022,46,False
Poland,Personal Devices and Computing,2023,0,False
Croatia,Personal Devices and Computing,2018,0,True
Croatia,Personal Devices and Computing,2022,0,False
Netherlands,Personal Devices and Computing,2019,8,True
Sweden,Physical Sciences and Engineering,2020,1,False
World Intellectual Property Organization (WIPO),Physical Sciences and Engineering,2017,0,True
France,Physical Sciences and Engineering,2019,3,True
Japan,Physical Sciences and Engineering,2022,57,False
Spain,Physical Sciences and Engineering,2022,2,False
Denmark,Security,2022,0,False
Canada,Security,2016,22,True
Australia,Security,2020,58,False
Colombia,Security,2019,0,True
Israel,Security,2022,0,False
Switzerland,Telecommunications,2021,0,False
Israel,Telecommunications,2022,2,False
Luxembourg,Telecommunications,2019,4,True
Japan,Telecommunications,2020,415,False
Peru,Telecommunications,2022,0,False
Morocco,Telecommunications,2017,0,True
Lithuania,Telecommunications,2020,1,False
Germany,Telecommunications,2018,79,True
