country,field,num_articles,num_citations
Maldives,Robotics,3,173
Côte d'Ivoire,Robotics,3,19
Laos,Robotics,3,73
Tanzania,AI Safety,4,49
Montenegro,AI Safety,4,37
Zambia,AI Safety,4,10
Mauritius,AI Safety,4,10
Armenia,AI Safety,4,2
Congo,AI Safety,4,55
Equatorial Guinea,All,4,10
Samoa,All,4,28
South Sudan,All,4,13
Cape Verde,Computer Vision,4,16
Tajikistan,Computer Vision,4,71
Equatorial Guinea,Computer Vision,4,10
Afghanistan,Large language models,4,7
Burkina Faso,Large language models,4,5
Barbados,Large language models,4,2
Tanzania,Large language models,4,57
Zambia,Large language models,4,70
Georgia,Large language models,4,21
El Salvador,Natural Language Processing,4,3
Mozambique,Natural Language Processing,4,43
Timor-Leste,Natural Language Processing,4,24
Jamaica,Natural Language Processing,4,23
Burundi,Natural Language Processing,4,49
Barbados,Natural Language Processing,4,55
Dominican Republic,Natural Language Processing,4,79
Mozambique,Robotics,4,25
Tajikistan,Robotics,4,10
Vatican City,Robotics,4,53
Dominican Republic,Robotics,4,0
Costa Rica,AI Safety,5,254
Albania,AI Safety,5,26
Afghanistan,AI Safety,5,140
Djibouti,All,5,52
Andorra,All,5,93
Tonga,All,5,82
Barbados,Computer Vision,5,131
Togo,Computer Vision,5,138
Mali,Computer Vision,5,444
Albania,Large language models,5,25
Montenegro,Large language models,5,48
Mauritius,Large language models,5,15
Belarus,Large language models,5,84
Maldives,Natural Language Processing,5,193
Monaco,Robotics,5,147
Cuba,AI Safety,6,136
Fiji,AI Safety,6,89
Botswana,AI Safety,6,63
Eritrea,Computer Vision,6,62
Mauritania,Computer Vision,6,25
Saint Kitts and Nevis,Computer Vision,6,30
Senegal,Large language models,6,63
Mongolia,Large language models,6,17
Madagascar,Natural Language Processing,6,40
Somalia,Natural Language Processing,6,141
Jamaica,Robotics,6,0
Turkmenistan,Robotics,6,0
Nepal,AI Safety,7,52
Senegal,AI Safety,7,18
Uruguay,AI Safety,7,17
Gambia,Computer Vision,7,74
Bhutan,Computer Vision,7,214
Niger,Computer Vision,7,34
Sierra Leone,Computer Vision,7,157
Burundi,Computer Vision,7,490
Haiti,Computer Vision,7,16
Botswana,Large language models,7,50
Congo,Natural Language Processing,7,4
Trinidad and Tobago,Natural Language Processing,7,18
Bhutan,Natural Language Processing,7,12
Angola,Natural Language Processing,7,118
Fiji,Natural Language Processing,7,159
Iceland,AI Safety,8,181
Latvia,AI Safety,8,149
Syria,AI Safety,8,12
Guinea,All,8,43
Vatican City,All,8,105
San Marino,All,8,54
Turkmenistan,All,8,0
Timor-Leste,Computer Vision,8,139
Chad,Computer Vision,8,18
Maldives,Computer Vision,8,30
Cuba,Large language models,8,334
Saint Lucia,Natural Language Processing,8,103
Paraguay,Natural Language Processing,8,7
Congo,Robotics,8,18
Nicaragua,Robotics,8,27
Benin,Robotics,8,17
Ethiopia,AI Safety,9,25
Cape Verde,All,9,38
Antigua and Barbuda,All,9,97
Congo,Computer Vision,9,137
Sudan,Large language models,9,50
Saint Lucia,Large language models,9,44
Libya,Large language models,9,44
Bosnia and Herzegovina,Large language models,9,104
Papua New Guinea,Natural Language Processing,9,134
Namibia,Natural Language Processing,9,678
Liechtenstein,Natural Language Processing,9,464
Moldova,Robotics,9,19
Namibia,Robotics,9,88
Bosnia and Herzegovina,AI Safety,10,10
Peru,AI Safety,10,28
Azerbaijan,AI Safety,10,45
Dominica,All,10,81
Brunei Darussalam,Large language models,10,84
Panama,Natural Language Processing,10,70
Papua New Guinea,Robotics,10,246
North Korea,Robotics,10,55
Yemen,AI Safety,11,698
Cameroon,AI Safety,11,57
Lesotho,All,11,99
Belize,All,11,100
Laos,Computer Vision,11,211
Jamaica,Computer Vision,11,76
Costa Rica,Large language models,11,23
Rwanda,Large language models,11,210
Cameroon,Large language models,12,182
Bahrain,Large language models,12,46
Zimbabwe,Natural Language Processing,12,89
Zambia,Natural Language Processing,12,413
Malawi,Natural Language Processing,12,239
Barbados,Robotics,12,48
Kyrgyzstan,Robotics,12,9
Uganda,AI Safety,13,51
North Macedonia,AI Safety,13,254
Monaco,All,13,425
Bahamas,All,13,196
Liechtenstein,Computer Vision,13,297
Azerbaijan,Large language models,13,164
Benin,Natural Language Processing,13,58
Senegal,Robotics,13,37
Afghanistan,Robotics,13,285
Lithuania,AI Safety,15,214
Comoros,All,15,161
Honduras,Natural Language Processing,15,34
Albania,Robotics,15,169
Georgia,Robotics,15,74
Tanzania,Robotics,15,186
Kenya,AI Safety,16,110
Brunei Darussalam,AI Safety,16,79
Nicaragua,All,16,455
Syria,Large language models,16,222
Moldova,Natural Language Processing,16,182
Liechtenstein,Robotics,16,295
Eritrea,All,18,147
Somalia,Computer Vision,18,230
Iceland,Large language models,18,1081
Venezuela,Natural Language Processing,18,305
Côte d'Ivoire,Natural Language Processing,18,246
Cambodia,Robotics,18,144
Grenada,Robotics,18,201
Liechtenstein,AI Safety,19,1104
Kuwait,AI Safety,19,242
Guatemala,Computer Vision,19,282
Bolivia,Computer Vision,19,134
El Salvador,Computer Vision,19,109
Gabon,Computer Vision,19,532
Uruguay,Large language models,19,422
Burkina Faso,Natural Language Processing,19,69
Montenegro,Robotics,19,79
Bahrain,AI Safety,20,47
Saint Kitts and Nevis,All,20,147
Mozambique,Computer Vision,20,326
Papua New Guinea,Computer Vision,20,208
Rwanda,Natural Language Processing,20,309
Uganda,Robotics,20,269
Bolivia,Robotics,20,240
Uzbekistan,AI Safety,22,119
Sierra Leone,All,22,207
Niger,All,22,236
Guyana,All,22,53
Kyrgyzstan,Natural Language Processing,22,42
Laos,All,23,357
Timor-Leste,All,23,262
Congo,All,23,261
Chad,All,23,75
Namibia,Computer Vision,23,341
Uganda,Large language models,23,638
Mauritius,Robotics,23,352
Kazakhstan,AI Safety,28,200
Bulgaria,AI Safety,28,251
Liberia,All,28,205
Gambia,All,28,280
Zimbabwe,Computer Vision,28,155
Oman,AI Safety,31,96
Mauritania,All,31,134
Togo,All,31,558
Malta,Large language models,31,868
Botswana,Robotics,31,368
Paraguay,Computer Vision,68,509
Estonia,Large language models,68,1786
Libya,Natural Language Processing,68,571
Uruguay,Natural Language Processing,68,846
Myanmar,Robotics,68,552
