country,field,year,estimated_investment,complete
Germany,Hardware,2016,187,True
Romania,Hardware,2023,2,True
Romania,Hardware,2025,3,True
Jordan,Hardware,2023,0,True
Saudi Arabia,Hardware,2016,2,True
Latvia,Hardware,2019,2,True
Kenya,Hardware,2024,0,True
Lithuania,Hardware,2021,0,True
Singapore,Hardware,2019,118,True
Germany,Healthcare and Life Sciences,2026,10,False
Spain,Healthcare and Life Sciences,2020,119,True
Sweden,Healthcare and Life Sciences,2020,24,True
Czechia,Healthcare and Life Sciences,2022,21,True
Ghana,Healthcare and Life Sciences,2021,1,True
Denmark,Healthcare and Life Sciences,2024,11,True
Zambia,Healthcare and Life Sciences,2021,0,True
Vietnam,Healthcare and Life Sciences,2021,0,True
South Africa,Healthcare and Life Sciences,2023,3,True
Australia,Information Technology,2016,18,True
Croatia,Information Technology,2020,1,True
Switzerland,Information Technology,2026,118,False
United Arab Emirates,Information Technology,2025,868,True
Iceland,Information Technology,2024,2,True
Latvia,Information Technology,2022,1,True
Turkey,Information Technology,2018,3,True
Israel,Information Technology,2020,289,True
Saudi Arabia,Lending and Investments,2021,3,True
Belgium,Lending and Investments,2018,2,True
Netherlands,Lending and Investments,2018,0,True
United Kingdom,Lending and Investments,2017,78,True
United Kingdom,Lending and Investments,2026,2,False
Germany,Lending and Investments,2019,8,True
Iceland,Manufacturing,2024,2,True
Sweden,Manufacturing,2025,4,True
Portugal,Manufacturing,2019,3,True
Turkey,Manufacturing,2024,1,True
Kenya,Manufacturing,2025,0,True
Malaysia,Manufacturing,2021,14,True
Switzerland,Manufacturing,2023,36,True
New Zealand,Manufacturing,2023,0,True
Norway,Manufacturing,2020,75,True
Denmark,Manufacturing,2021,1,True
Brazil,Manufacturing,2017,1,True
Germany,Manufacturing,2025,1688,True
Singapore,Media and Entertainment,2024,125,True
Italy,Media and Entertainment,2021,3,True
Hungary,Media and Entertainment,2016,0,True
Ireland,Media and Entertainment,2017,3,True
Portugal,Media and Entertainment,2017,130,True
South Korea,"Military, public safety and government",2021,2,True
Norway,"Military, public safety and government",2022,0,True
Italy,"Military, public safety and government",2017,2,True
United Kingdom,"Military, public safety and government",2019,8,True
Netherlands,"Military, public safety and government",2016,1,True
Bulgaria,"Mobile, platforms & Internet services",2024,3,True
Vietnam,"Mobile, platforms & Internet services",2019,1,True
United Arab Emirates,"Mobile, platforms & Internet services",2017,2,True
Indonesia,"Mobile, platforms & Internet services",2021,108,True
Brazil,"Mobile, platforms & Internet services",2025,658,True
Iceland,"Mobile, platforms & Internet services",2021,1,True
Spain,"Mobile, platforms & Internet services",2021,128,True
Romania,"Mobile, platforms & Internet services",2019,1,True
Uruguay,"Mobile, platforms & Internet services",2025,0,True
Japan,"Mobile, platforms & Internet services",2018,88,True
Italy,NLP,2017,1,True
France,NLP,2016,113,True
Finland,NLP,2021,0,True
Chile,NLP,2023,0,True
Brazil,NLP,2016,0,True
Singapore,NLP,2025,4,True
Mexico,NLP,2025,55,True
China (mainland),NLP,2024,21,True
Serbia,NLP,2018,0,True
Austria,Navigation and mapping,2022,2,True
Indonesia,Other,2016,2,True
Malaysia,Other,2018,4,True
Belize,Other,2022,20,True
Japan,Other,2022,11,True
Estonia,Other,2025,0,True
Egypt,Other,2024,4,True
South Africa,Other,2018,0,True
South Africa,Privacy and Security,2021,0,True
United Arab Emirates,Privacy and Security,2021,1,True
Seychelles,Privacy and Security,2016,0,True
United States,Privacy and Security,2019,3965,True
Denmark,Privacy and Security,2023,33,True
Italy,Professional services,2018,2,True
Italy,Professional services,2023,27,True
Uruguay,Professional services,2023,1,True
Mexico,Professional services,2020,4,True
Serbia,Professional services,2021,0,True
Canada,Professional services,2024,396,True
Sweden,Professional services,2021,2395,True
Ukraine,Professional services,2023,0,True
Israel,Professional services,2022,69,True
Netherlands,Professional services,2019,10,True
Japan,Professional services,2017,168,True
Japan,Professional services,2024,176,True
Spain,Professional services,2016,1,True
Chile,Professional services,2023,0,True
Singapore,Professional services,2020,458,True
Canada,Real estate,2022,987,True
Canada,Real estate,2023,51,True
Vietnam,Real estate,2021,1,True
Japan,Real estate,2021,1,True
Brazil,Real estate,2019,0,True
Hungary,Real estate,2024,1,True
Belgium,Real estate,2017,2,True
Japan,Robotics,2020,193,True
Germany,Robotics,2022,244,True
United States,Robotics,2025,3087,True
Australia,Robotics,2021,1,True
Ireland,Robotics,2020,0,True
Ireland,Robotics,2024,49,True
South Africa,Robotics,2020,52,True
Germany,"Sales, retail, commerce, marketing",2022,350,True
Nigeria,"Sales, retail, commerce, marketing",2019,0,True
Mexico,"Sales, retail, commerce, marketing",2016,1,True
Slovakia,"Sales, retail, commerce, marketing",2020,2,True
Chile,"Sales, retail, commerce, marketing",2023,0,True
Tanzania,"Sales, retail, commerce, marketing",2025,0,True
United Kingdom,"Sales, retail, commerce, marketing",2021,1253,True
Tunisia,"Sales, retail, commerce, marketing",2019,0,True
United Kingdom,Semiconductor,2024,265,True
South Korea,Simulation,2024,2,True
Norway,Software,2023,115,True
Romania,Software,2016,1,True
Romania,Software,2018,1,True
Ireland,Software,2022,438,True
Estonia,Software,2021,53,True
Armenia,Software,2021,1,True
Netherlands,Software,2017,302,True
Netherlands,Software,2019,370,True
Canada,Software,2023,2454,True
Georgia,Software,2023,0,True
Australia,Software,2025,655,True
Sri Lanka,Software,2018,2,True
Serbia,Software,2022,0,True
Russia,Software,2019,27,True
Seychelles,Software,2022,10,True
Vietnam,Software,2026,2,False
Singapore,Software,2021,1470,True
Singapore,Software,2024,2676,True
Poland,Software,2021,94,True
Algeria,Software,2022,0,True
France,Speech Recognition,2023,1,True
South Africa,Speech Recognition,2022,1,True
Japan,Speech Recognition,2022,0,True
Poland,Sports,2025,6,True
Switzerland,Sports,2021,12,True
Singapore,Sports,2017,6,True
United Kingdom,Sports,2020,68,True
Spain,Sports,2021,6,True
Ireland,Telecommunications,2022,4,True
United Kingdom,Telecommunications,2016,202,True
Portugal,Transportation,2024,5,True
Germany,Transportation,2019,85,True
Greece,Transportation,2025,101,True
Ecuador,Transportation,2021,0,True
South Africa,Transportation,2022,0,True
Turkey,Agriculture,2025,3,True
Philippines,Agriculture,2025,22,True
Iceland,Agriculture,2022,1,True
Canada,Agriculture,2017,4,True
France,Agriculture,2023,6,True
Netherlands,Agriculture,2023,14,True
Germany,Agriculture,2025,14,True
Zambia,Agriculture,2019,1,True
Jordan,All,2026,1,False
Thailand,All,2024,44,True
China (mainland),All,2019,7262,True
Greece,All,2024,61,True
Paraguay,All,2024,0,True
Egypt,All,2021,37,True
Cyprus,All,2016,1,True
Vietnam,All,2019,17,True
Vietnam,All,2025,270,True
Philippines,All,2020,8,True
Kazakhstan,All,2021,1,True
Malaysia,All,2021,170,True
Russia,All,2016,8,True
Belize,All,2019,10,True
Singapore,All,2018,1057,True
Mexico,All,2023,196,True
Mexico,All,2024,186,True
Mongolia,All,2022,0,True
Sri Lanka,All,2020,0,True
Malta,All,2018,0,True
France,Biotechnology,2023,130,True
Japan,Biotechnology,2024,29,True
Netherlands,Biotechnology,2024,126,True
Israel,Biotechnology,2024,64,True
Turkey,Biotechnology,2024,0,True
South Korea,Biotechnology,2016,2,True
South Korea,Biotechnology,2018,4,True
Indonesia,Biotechnology,2023,2,True
Finland,Biotechnology,2022,4,True
Canada,Community and Lifestyle,2022,1117,True
Canada,Community and Lifestyle,2025,115,True
South Africa,Community and Lifestyle,2022,0,True
Ireland,Community and Lifestyle,2018,10,True
Italy,Community and Lifestyle,2025,3,True
Portugal,Community and Lifestyle,2023,4,True
Singapore,Community and Lifestyle,2020,3,True
United Kingdom,Community and Lifestyle,2017,57,True
Australia,Computer Vision,2018,2,True
Indonesia,Computer Vision,2019,0,True
Belgium,Computer Vision,2022,101,True
Taiwan,Consumer goods,2016,6,True
Norway,Consumer goods,2022,7,True
Singapore,Consumer goods,2017,1,True
Singapore,Consumer goods,2018,13,True
Belgium,Consumer goods,2021,1,True
South Korea,Consumer goods,2016,1,True
Nigeria,Consumer goods,2026,3,False
Slovakia,Consumer goods,2023,1,True
Netherlands,Consumer goods,2019,8,True
Germany,Cyber Security,2019,5,True
Spain,Cyber Security,2022,0,True
United Kingdom,Cyber Security,2021,105,True
India,Data and analytics,2023,851,True
Norway,Data and analytics,2022,159,True
Poland,Data and analytics,2020,110,True
Tajikistan,Data and analytics,2025,1,True
Pakistan,Data and analytics,2025,0,True
Dominican Republic,Data and analytics,2024,0,True
Israel,Data and analytics,2018,750,True
Thailand,Data and analytics,2025,0,True
Italy,Data and analytics,2023,207,True
Portugal,Data and analytics,2020,11,True
Qatar,Data and analytics,2019,0,True
Mexico,Data and analytics,2019,110,True
Austria,Data and analytics,2021,174,True
Sweden,Data and analytics,2016,29,True
Taiwan,Data and analytics,2019,188,True
Vietnam,Data and analytics,2018,0,True
Vietnam,Education,2022,0,True
Chile,Education,2020,1,True
Nigeria,Education,2025,1,True
Cyprus,Education,2020,0,True
France,Education,2026,55,False
Netherlands,Education,2018,3,True
United States,Education,2022,1954,True
Hungary,Education,2016,0,True
Colombia,Education,2023,0,True
Peru,Education,2019,1,True
Colombia,Energy and natural resources,2023,0,True
Japan,Energy and natural resources,2025,20,True
Australia,Energy and natural resources,2022,17,True
Finland,Energy and natural resources,2021,3,True
Malaysia,Energy and natural resources,2025,4,True
India,Energy and natural resources,2026,10,False
Luxembourg,Energy and natural resources,2025,0,True
Ghana,Finance,2023,13,True
Finland,Finance,2023,499,True
Belgium,Finance,2019,3,True
Zimbabwe,Finance,2024,1,True
Indonesia,Finance,2020,1,True
China (mainland),Finance,2025,329,True
Saudi Arabia,Finance,2020,9,True
Cyprus,Finance,2021,23,True
Italy,Finance,2023,6,True
United Kingdom,Finance,2017,199,True
United Arab Emirates,Finance,2018,1,True
Ireland,Finance,2020,3,True
Denmark,Gaming,2022,2,True
United Arab Emirates,Gaming,2025,5,True
Sweden,Gaming,2018,2,True
Iceland,General purpose,2024,2,True
Indonesia,General purpose,2026,1,False
Argentina,General purpose,2017,4,True
Pakistan,General purpose,2025,0,True
Philippines,General purpose,2019,1,True
Israel,General purpose,2026,4582,False
Paraguay,General purpose,2024,0,True
Taiwan,General purpose,2023,85,True
Belgium,General purpose,2017,121,True
Peru,General purpose,2017,0,True
Kazakhstan,General purpose,2025,1,True
Serbia,General purpose,2020,0,True
Estonia,General purpose,2022,54,True
Vietnam,General purpose,2026,2,False
Mongolia,General purpose,2022,0,True
Egypt,General purpose,2024,6,True
Morocco,General purpose,2022,0,True
Iceland,Hardware,2023,5,True
Netherlands,Hardware,2026,30,False
France,Hardware,2024,1399,True
Italy,Hardware,2024,121,True
Mexico,Hardware,2016,0,True
Ukraine,Hardware,2023,4,True
Spain,Hardware,2018,18,True
China (mainland),Hardware,2022,3081,True
Peru,Hardware,2021,0,True
Chile,Hardware,2022,1,True
Kazakhstan,Hardware,2020,0,True
Turkey,Hardware,2022,28,True
Croatia,Hardware,2020,0,True
Austria,Hardware,2024,32,True
Costa Rica,Hardware,2026,0,False
South Korea,Healthcare and Life Sciences,2020,110,True
Japan,Healthcare and Life Sciences,2020,65,True
Sweden,Healthcare and Life Sciences,2018,6,True
Australia,Healthcare and Life Sciences,2020,17,True
Kenya,Healthcare and Life Sciences,2023,2,True
Netherlands,Healthcare and Life Sciences,2019,9,True
South Africa,Healthcare and Life Sciences,2024,0,True
Singapore,Healthcare and Life Sciences,2024,6,True
United Arab Emirates,Healthcare and Life Sciences,2024,6,True
China (mainland),Healthcare and Life Sciences,2020,381,True
Lithuania,Healthcare and Life Sciences,2021,4,True
Argentina,Healthcare and Life Sciences,2020,0,True
Taiwan,Information Technology,2017,7,True
Greece,Information Technology,2020,1,True
Chile,Information Technology,2024,12,True
United Arab Emirates,Information Technology,2020,30,True
Iceland,Information Technology,2023,3,True
Philippines,Information Technology,2018,3,True
Canada,Information Technology,2023,1439,True
Ghana,Information Technology,2021,0,True
Portugal,Information Technology,2022,18,True
Indonesia,Information Technology,2017,20,True
Indonesia,Information Technology,2020,240,True
Vietnam,Information Technology,2021,5,True
Egypt,Lending and Investments,2022,0,True
India,Lending and Investments,2023,46,True
Brazil,Lending and Investments,2020,3,True
United Arab Emirates,Lending and Investments,2016,0,True
Belgium,Lending and Investments,2022,2,True
Ireland,Lending and Investments,2019,34,True
United Kingdom,Lending and Investments,2019,45,True
Nigeria,Lending and Investments,2017,0,True
Croatia,Manufacturing,2021,0,True
Poland,Manufacturing,2023,6,True
Australia,Manufacturing,2018,3,True
Netherlands,Manufacturing,2020,2,True
Chile,Manufacturing,2019,0,True
South Africa,Manufacturing,2021,0,True
United States,Manufacturing,2022,2352,True
Argentina,Media and Entertainment,2016,0,True
Greece,Media and Entertainment,2016,5,True
Netherlands,Media and Entertainment,2021,304,True
Canada,Media and Entertainment,2019,72,True
Japan,Media and Entertainment,2019,203,True
South Korea,"Military, public safety and government",2016,0,True
Italy,"Military, public safety and government",2023,2,True
Germany,"Military, public safety and government",2026,45,False
United Kingdom,"Military, public safety and government",2022,39,True
Belgium,"Mobile, platforms & Internet services",2016,64,True
Brazil,"Mobile, platforms & Internet services",2018,63,True
Seychelles,"Mobile, platforms & Internet services",2023,25,True
Netherlands,"Mobile, platforms & Internet services",2016,552,True
United States,"Mobile, platforms & Internet services",2019,17548,True
Germany,"Mobile, platforms & Internet services",2017,284,True
Nigeria,"Mobile, platforms & Internet services",2025,4,True
Czechia,"Mobile, platforms & Internet services",2022,39,True
Russia,"Mobile, platforms & Internet services",2019,1,True
Italy,NLP,2020,0,True
Switzerland,NLP,2022,0,True
Chile,NLP,2018,1,True
Italy,Navigation and mapping,2021,1,True
Italy,Navigation and mapping,2023,2,True
Israel,Navigation and mapping,2024,19,True
Australia,Navigation and mapping,2017,2,True
South Korea,Navigation and mapping,2023,12,True
India,Navigation and mapping,2016,2,True
Iceland,Other,2019,2,True
New Zealand,Other,2018,3,True
Denmark,Other,2021,31,True
Japan,Other,2017,15,True
Japan,Other,2018,8,True
Kenya,Other,2017,0,True
France,Other,2018,195,True
Brazil,Other,2024,130,True
South Korea,Other,2021,38,True
Nigeria,Other,2022,0,True
United Kingdom,Other,2020,222,True
United Kingdom,Other,2025,541,True
Belgium,Other,2017,26,True
Turkey,Other,2026,0,False
Switzerland,Privacy and Security,2025,228,True
France,Privacy and Security,2022,51,True
Italy,Privacy and Security,2020,84,True
Argentina,Privacy and Security,2017,4,True
Spain,Privacy and Security,2017,18,True
Spain,Privacy and Security,2019,2,True
Norway,Privacy and Security,2025,6,True
Romania,Privacy and Security,2023,1,True
Indonesia,Privacy and Security,2023,0,True
Australia,Privacy and Security,2026,8,False
Israel,Privacy and Security,2018,83,True
Lithuania,Privacy and Security,2025,1,True
Kenya,Privacy and Security,2025,0,True
Estonia,Privacy and Security,2020,7,True
Turkey,Privacy and Security,2021,0,True
Austria,Privacy and Security,2023,0,True
Sweden,Professional services,2022,50,True
China (mainland),Professional services,2016,25,True
Dominican Republic,Professional services,2021,0,True
India,Professional services,2026,22,False
France,Professional services,2019,368,True
Germany,Professional services,2026,41,False
Romania,Professional services,2020,0,True
Taiwan,Professional services,2020,2,True
Ireland,Professional services,2019,2,True
Ireland,Professional services,2022,57,True
Malaysia,Professional services,2022,2,True
United Arab Emirates,Professional services,2025,45,True
South Africa,Real estate,2020,0,True
Estonia,Real estate,2022,3,True
Vietnam,Real estate,2023,2,True
China (mainland),Real estate,2025,123,True
South Korea,Real estate,2021,26,True
Sweden,Real estate,2021,4,True
Sweden,Real estate,2022,5,True
Germany,Real estate,2022,175,True
Singapore,Real estate,2019,1,True
China (mainland),Robotics,2017,216,True
Israel,Robotics,2017,6,True
Portugal,Robotics,2017,0,True
Australia,Robotics,2020,0,True
Switzerland,Robotics,2017,12,True
Ireland,Robotics,2022,1,True
France,"Sales, retail, commerce, marketing",2024,226,True
Chile,"Sales, retail, commerce, marketing",2020,2,True
Japan,"Sales, retail, commerce, marketing",2017,37,True
Japan,"Sales, retail, commerce, marketing",2019,178,True
Romania,"Sales, retail, commerce, marketing",2018,1,True
Romania,"Sales, retail, commerce, marketing",2023,1,True
Taiwan,"Sales, retail, commerce, marketing",2020,21,True
Brazil,"Sales, retail, commerce, marketing",2016,2,True
Saudi Arabia,"Sales, retail, commerce, marketing",2021,1883,True
Italy,"Sales, retail, commerce, marketing",2024,2,True
United Kingdom,Semiconductor,2021,10,True
Slovenia,Simulation,2016,0,True
France,Simulation,2025,2,True
Botswana,Software,2024,1,True
Egypt,Software,2022,4,True
Kazakhstan,Software,2023,3,True
Kazakhstan,Software,2025,5,True
Slovenia,Software,2020,2,True
Belgium,Software,2019,160,True
Ecuador,Software,2024,0,True
Bahrain,Software,2020,0,True
Taiwan,Software,2024,119,True
Malaysia,Software,2019,36,True
New Zealand,Software,2017,1,True
Lebanon,Software,2017,1,True
Bolivia,Software,2022,1,True
Bulgaria,Software,2021,1,True
Paraguay,Software,2024,0,True
Pakistan,Software,2024,3,True
Vietnam,Software,2016,2,True
Vietnam,Software,2025,261,True
Argentina,Software,2026,1,False
Uruguay,Software,2026,0,False
Cyprus,Software,2017,1,True
Germany,Software,2018,1877,True
Spain,Speech Recognition,2017,1,True
Colombia,Speech Recognition,2021,1,True
Portugal,Speech Recognition,2024,2,True
Czechia,Sports,2021,2,True
Sweden,Telecommunications,2022,0,True
Poland,Telecommunications,2022,0,True
United Arab Emirates,Telecommunications,2019,2,True
Japan,Telecommunications,2017,3,True
Romania,Telecommunications,2021,0,True
Egypt,Transportation,2017,0,True
Czechia,Transportation,2021,1,True
Sweden,Transportation,2025,1854,True
Germany,Transportation,2024,1110,True
Pakistan,Transportation,2021,0,True
Austria,Transportation,2021,8,True
Bangladesh,Transportation,2020,0,True
Italy,Transportation,2019,1,True
Mexico,Transportation,2020,2,True
China (mainland),Transportation,2018,992,True
Ghana,Transportation,2022,0,True
Saudi Arabia,Transportation,2022,22,True
United States,Transportation,2026,1467,False
Canada,Transportation,2022,1010,True
Uganda,Agriculture,2023,0,True
Tunisia,Agriculture,2022,0,True
Mexico,Agriculture,2020,0,True
Mexico,Agriculture,2022,0,True
India,Agriculture,2018,6,True
China (mainland),Agriculture,2017,20,True
United Kingdom,Agriculture,2020,9,True
Saudi Arabia,Agriculture,2017,0,True
Chile,Agriculture,2019,0,True
Chile,Agriculture,2022,1,True
Uganda,All,2023,0,True
Saudi Arabia,All,2026,1231,False
Zimbabwe,All,2019,0,True
Lebanon,All,2025,0,True
Netherlands,All,2020,516,True
Belgium,All,2018,78,True
Bosnia and Herzegovina,All,2016,0,True
Italy,All,2024,454,True
Seychelles,All,2016,1,True
Denmark,All,2018,674,True
Estonia,All,2019,10,True
Estonia,All,2023,44,True
Peru,All,2018,0,True
North Macedonia,All,2022,1,True
Kenya,All,2016,8,True
Ireland,All,2024,534,True
Australia,All,2022,1097,True
Poland,Biotechnology,2021,5,True
Germany,Biotechnology,2025,841,True
Spain,Biotechnology,2024,14,True
Switzerland,Biotechnology,2017,9,True
United States,Biotechnology,2018,1008,True
United States,Biotechnology,2026,1366,False
Cyprus,Biotechnology,2025,1,True
Switzerland,Community and Lifestyle,2022,139,True
Brazil,Community and Lifestyle,2022,5,True
United Arab Emirates,Community and Lifestyle,2023,5,True
Indonesia,Community and Lifestyle,2025,0,True
Japan,Community and Lifestyle,2017,4,True
Estonia,Community and Lifestyle,2021,1,True
United Arab Emirates,Computer Vision,2018,1,True
Germany,Computer Vision,2018,18,True
South Korea,Computer Vision,2016,0,True
Brazil,Computer Vision,2019,4,True
Bangladesh,Computer Vision,2019,0,True
Italy,Computer Vision,2020,0,True
Ireland,Consumer goods,2023,60,True
Norway,Consumer goods,2021,7,True
Germany,Consumer goods,2021,410,True
France,Consumer goods,2025,33,True
Brazil,Consumer goods,2021,26,True
Israel,Consumer goods,2016,7,True
Netherlands,Consumer goods,2023,5,True
Germany,Cyber Security,2025,839,True
Estonia,Cyber Security,2021,35,True
India,Data and analytics,2026,234,False
Belize,Data and analytics,2019,10,True
Bosnia and Herzegovina,Data and analytics,2020,0,True
Norway,Data and analytics,2017,46,True
Latvia,Data and analytics,2022,0,True
Poland,Data and analytics,2025,528,True
Czechia,Data and analytics,2022,44,True
Denmark,Data and analytics,2022,177,True
United States,Data and analytics,2022,53041,True
Greece,Data and analytics,2016,6,True
Canada,Data and analytics,2016,715,True
Venezuela,Data and analytics,2019,1,True
Kenya,Data and analytics,2020,8,True
Japan,Data and analytics,2016,728,True
Vietnam,Data and analytics,2019,9,True
Hungary,Data and analytics,2025,2,True
France,Data and analytics,2023,2407,True
Netherlands,Data and analytics,2016,598,True
Saudi Arabia,Education,2023,1,True
Saudi Arabia,Education,2024,2,True
Austria,Education,2022,1,True
Turkey,Education,2023,0,True
Denmark,Education,2016,3,True
United States,Education,2024,2695,True
United Kingdom,Education,2016,9,True
Sri Lanka,Education,2025,0,True
Sweden,Education,2023,5,True
United Arab Emirates,Education,2025,2,True
Norway,Energy and natural resources,2021,3,True
Belgium,Energy and natural resources,2016,64,True
Brazil,Energy and natural resources,2018,2,True
Nigeria,Energy and natural resources,2022,0,True
Finland,Energy and natural resources,2017,4,True
Israel,Energy and natural resources,2019,11,True
Israel,Energy and natural resources,2023,28,True
United Kingdom,Energy and natural resources,2019,70,True
Kenya,Energy and natural resources,2025,0,True
Lebanon,Energy and natural resources,2017,0,True
Portugal,Energy and natural resources,2025,0,True
Germany,Energy and natural resources,2019,20,True
Poland,Facial Recognition,2019,0,True
Bulgaria,Finance,2023,1,True
Ghana,Finance,2019,0,True
Vietnam,Finance,2020,1,True
Israel,Finance,2024,436,True
Belgium,Finance,2022,234,True
Iceland,Finance,2019,3,True
Uganda,Finance,2020,0,True
China (mainland),Finance,2023,97,True
Japan,Finance,2024,43,True
Poland,Finance,2021,25,True
Philippines,Finance,2021,1,True
Hungary,Gaming,2016,0,True
Canada,Gaming,2022,945,True
Italy,Gaming,2021,0,True
Norway,General purpose,2018,41,True
Ireland,General purpose,2019,89,True
Mexico,General purpose,2018,5,True
Greece,General purpose,2024,2,True
China (mainland),General purpose,2017,3718,True
China (mainland),General purpose,2021,6454,True
South Korea,General purpose,2016,59,True
Germany,General purpose,2019,625,True
Cyprus,General purpose,2021,25,True
United Arab Emirates,General purpose,2021,819,True
Bulgaria,Hardware,2023,0,True
Iceland,Hardware,2018,2,True
Netherlands,Hardware,2024,483,True
India,Hardware,2024,154,True
Israel,Hardware,2026,906,False
China (mainland),Hardware,2026,966,False
Saudi Arabia,Hardware,2021,14,True
South Africa,Hardware,2017,0,True
Ghana,Hardware,2018,1,True
India,Healthcare and Life Sciences,2018,513,True
Saudi Arabia,Healthcare and Life Sciences,2025,14,True
Brazil,Healthcare and Life Sciences,2022,37,True
Uruguay,Healthcare and Life Sciences,2024,3,True
Singapore,Healthcare and Life Sciences,2023,64,True
France,Healthcare and Life Sciences,2026,51,False
Norway,Healthcare and Life Sciences,2023,22,True
Hungary,Healthcare and Life Sciences,2019,2,True
Hungary,Healthcare and Life Sciences,2022,3,True
Australia,Information Technology,2018,146,True
Taiwan,Information Technology,2024,56,True
Belgium,Information Technology,2022,305,True
Malaysia,Information Technology,2021,36,True
Malaysia,Information Technology,2025,8,True
Iran,Information Technology,2022,0,True
Russia,Information Technology,2018,4,True
United Kingdom,Information Technology,2022,1631,True
Romania,Information Technology,2024,2,True
Saudi Arabia,Information Technology,2019,89,True
Saudi Arabia,Information Technology,2026,1230,False
Singapore,Information Technology,2016,8,True
Singapore,Information Technology,2017,31,True
Singapore,Information Technology,2024,1149,True
Serbia,Information Technology,2023,0,True
Serbia,Information Technology,2024,43,True
Peru,Information Technology,2022,3,True
Portugal,Information Technology,2020,8,True
Portugal,Information Technology,2023,6,True
Italy,Information Technology,2016,5,True
Philippines,Lending and Investments,2023,6,True
Iceland,Lending and Investments,2021,0,True
United States,Lending and Investments,2025,2312,True
United Arab Emirates,Manufacturing,2018,2,True
United Arab Emirates,Manufacturing,2023,1,True
Spain,Manufacturing,2018,2,True
Israel,Manufacturing,2023,274,True
Canada,Manufacturing,2024,509,True
Lithuania,Manufacturing,2023,0,True
Singapore,Media and Entertainment,2021,67,True
United States,Media and Entertainment,2020,2626,True
Ukraine,Media and Entertainment,2020,2,True
Honduras,Media and Entertainment,2024,0,True
Serbia,Media and Entertainment,2017,0,True
Pakistan,Media and Entertainment,2021,3,True
Australia,Media and Entertainment,2021,102,True
Netherlands,Media and Entertainment,2019,3,True
Poland,Media and Entertainment,2026,2,False
Armenia,Media and Entertainment,2020,2,True
Sweden,Media and Entertainment,2017,9,True
Sweden,Media and Entertainment,2020,13,True
United Arab Emirates,Media and Entertainment,2019,0,True
Belgium,"Military, public safety and government",2017,2,True
Romania,"Military, public safety and government",2025,3,True
France,"Military, public safety and government",2021,1,True
Egypt,"Mobile, platforms & Internet services",2025,0,True
South Korea,"Mobile, platforms & Internet services",2019,196,True
Singapore,"Mobile, platforms & Internet services",2020,474,True
Singapore,"Mobile, platforms & Internet services",2025,6197,True
Panama,"Mobile, platforms & Internet services",2024,0,True
Bangladesh,"Mobile, platforms & Internet services",2020,2,True
New Zealand,"Mobile, platforms & Internet services",2026,1,False
Belarus,"Mobile, platforms & Internet services",2017,4,True
Thailand,"Mobile, platforms & Internet services",2016,0,True
France,"Mobile, platforms & Internet services",2016,185,True
India,"Mobile, platforms & Internet services",2020,12252,True
South Africa,"Mobile, platforms & Internet services",2016,52,True
South Africa,"Mobile, platforms & Internet services",2025,21,True
Argentina,"Mobile, platforms & Internet services",2016,0,True
Argentina,"Mobile, platforms & Internet services",2026,1,False
Israel,"Mobile, platforms & Internet services",2024,1406,True
China (mainland),"Mobile, platforms & Internet services",2021,1255,True
Israel,NLP,2023,33,True
Sweden,NLP,2016,0,True
France,NLP,2020,470,True
Taiwan,NLP,2018,18,True
Ireland,NLP,2020,22,True
Luxembourg,NLP,2022,0,True
Portugal,NLP,2016,1,True
Germany,Navigation and mapping,2025,235,True
Belgium,Navigation and mapping,2023,0,True
Austria,Navigation and mapping,2021,5,True
China (mainland),Navigation and mapping,2018,43,True
China (mainland),Navigation and mapping,2021,224,True
Norway,Other,2025,1,True
Malaysia,Other,2016,3,True
Portugal,Other,2024,7,True
Denmark,Other,2016,1,True
Kazakhstan,Other,2025,0,True
China (mainland),Other,2018,352,True
Greece,Other,2021,53,True
South Africa,Other,2017,0,True
Brazil,Other,2021,37,True
Brazil,Other,2023,20,True
Sweden,Other,2020,9,True
United Kingdom,Other,2017,104,True
Israel,Other,2021,335,True
Jamaica,Other,2018,0,True
Peru,Other,2021,0,True
Netherlands,Privacy and Security,2024,101,True
Malaysia,Privacy and Security,2023,0,True
Brazil,Privacy and Security,2020,68,True
Tunisia,Privacy and Security,2023,0,True
Ireland,Privacy and Security,2023,16,True
Australia,Privacy and Security,2019,2,True
Czechia,Privacy and Security,2021,7,True
South Korea,Privacy and Security,2023,12,True
Poland,Privacy and Security,2019,1,True
Denmark,Professional services,2019,7,True
United States,Professional services,2016,1336,True
Hungary,Professional services,2019,1,True
South Korea,Professional services,2025,38,True
Ukraine,Professional services,2024,0,True
Brazil,Professional services,2018,9,True
Bulgaria,Professional services,2022,0,True
Israel,Professional services,2017,14,True
Taiwan,Professional services,2022,7,True
Singapore,Professional services,2022,44,True
Italy,Real estate,2024,2,True
Indonesia,Real estate,2025,2,True
Australia,Real estate,2024,47,True
China (mainland),Real estate,2021,297,True
Israel,Real estate,2020,21,True
United Kingdom,Real estate,2017,11,True
Poland,Real estate,2020,1,True
United Kingdom,Robotics,2023,41,True
Malaysia,Robotics,2017,1,True
Australia,"Sales, retail, commerce, marketing",2025,98,True
Nigeria,"Sales, retail, commerce, marketing",2021,1,True
Kazakhstan,"Sales, retail, commerce, marketing",2022,0,True
