country,field,year,disclosed_investment,complete
Israel,Sports,2022,90,True
Ukraine,Sports,2019,0,True
South Korea,Sports,2019,0,True
Canada,Telecommunications,2018,1,True
Argentina,Transportation,2020,0,True
Ghana,Transportation,2022,0,True
Estonia,Transportation,2019,0,True
Nigeria,Transportation,2019,0,True
Jordan,Transportation,2026,0,False
Czechia,Transportation,2020,1,True
Switzerland,Agriculture,2023,7,True
Japan,Agriculture,2016,1,True
New Zealand,Agriculture,2024,0,True
Argentina,Agriculture,2021,1,True
Argentina,Agriculture,2024,0,True
Estonia,Agriculture,2022,2,True
Chile,Agriculture,2021,1,True
Lebanon,All,2017,1,True
Netherlands,All,2024,553,True
Sri Lanka,All,2017,2,True
Singapore,All,2021,2377,True
Philippines,All,2025,113,True
Bulgaria,All,2016,0,True
United Kingdom,All,2024,4194,True
Chile,All,2020,89,True
France,All,2017,433,True
Belarus,All,2017,2,True
Saudi Arabia,All,2017,18,True
Sweden,All,2019,94,True
Switzerland,All,2021,639,True
China (mainland),Biotechnology,2025,103,True
Portugal,Biotechnology,2019,2,True
Hungary,Biotechnology,2022,3,True
Brazil,Biotechnology,2022,0,True
Vietnam,Biotechnology,2026,2,False
United Kingdom,Biotechnology,2024,37,True
Jordan,Community and Lifestyle,2018,0,True
United Kingdom,Community and Lifestyle,2025,16,True
Turkey,Community and Lifestyle,2017,0,True
Australia,Community and Lifestyle,2022,11,True
Australia,Community and Lifestyle,2025,73,True
France,Community and Lifestyle,2021,3,True
Poland,Community and Lifestyle,2021,2,True
Indonesia,Community and Lifestyle,2025,0,True
Estonia,Community and Lifestyle,2019,1,True
Austria,Computer Vision,2019,0,True
Canada,Computer Vision,2020,4,True
Lithuania,Computer Vision,2025,0,True
France,Computer Vision,2023,14,True
Singapore,Computer Vision,2023,50,True
Turkey,Computer Vision,2018,1,True
Sri Lanka,Computer Vision,2024,0,True
Brazil,Computer Vision,2024,0,True
Switzerland,Computer Vision,2019,8,True
Austria,Consumer goods,2017,1,True
Finland,Consumer goods,2019,1,True
Estonia,Consumer goods,2016,0,True
Estonia,Consumer goods,2021,1,True
Portugal,Consumer goods,2021,0,True
Netherlands,Consumer goods,2019,8,True
Australia,Consumer goods,2018,8,True
United Kingdom,Consumer goods,2019,29,True
Ireland,Cyber Security,2021,6,True
Brazil,Cyber Security,2022,17,True
Switzerland,Data and analytics,2021,182,True
Netherlands,Data and analytics,2020,38,True
Panama,Data and analytics,2023,0,True
United Kingdom,Data and analytics,2019,557,True
United Kingdom,Data and analytics,2022,1711,True
Slovakia,Data and analytics,2024,0,True
India,Data and analytics,2020,165,True
New Zealand,Data and analytics,2019,3,True
Bulgaria,Data and analytics,2022,2,True
Russia,Data and analytics,2024,3,True
South Africa,Data and analytics,2023,14,True
Chile,Education,2022,0,True
United States,Energy and natural resources,2018,176,True
France,Energy and natural resources,2017,3,True
China (mainland),Energy and natural resources,2022,39,True
China (mainland),Energy and natural resources,2024,18,True
Israel,Energy and natural resources,2019,7,True
Norway,Energy and natural resources,2023,0,True
Japan,Energy and natural resources,2019,1,True
Taiwan,Energy and natural resources,2024,4,True
United States,Facial Recognition,2025,3,True
Estonia,Finance,2023,0,True
Portugal,Finance,2019,1,True
Austria,Finance,2017,0,True
Luxembourg,Finance,2018,1,True
Australia,Finance,2020,26,True
Israel,Gaming,2020,5,True
Australia,Gaming,2021,32,True
Germany,Gaming,2019,0,True
India,Gaming,2023,2,True
Ireland,General purpose,2018,52,True
Ireland,General purpose,2025,91,True
Greece,General purpose,2018,1,True
Bangladesh,General purpose,2022,2,True
Denmark,General purpose,2025,36,True
Portugal,General purpose,2018,8,True
Cyprus,General purpose,2025,18,True
Lebanon,General purpose,2019,0,True
Philippines,General purpose,2021,0,True
Australia,General purpose,2023,118,True
Italy,General purpose,2025,125,True
Romania,General purpose,2016,0,True
Taiwan,General purpose,2017,9,True
Australia,Hardware,2017,2,True
Georgia,Hardware,2024,0,True
India,Hardware,2016,11,True
India,Hardware,2024,89,True
Italy,Hardware,2019,2,True
Italy,Hardware,2021,2,True
Japan,Hardware,2025,54,True
Czechia,Hardware,2016,1,True
Greece,Hardware,2018,1,True
Sweden,Hardware,2022,16,True
Austria,Hardware,2016,1,True
Argentina,Hardware,2021,0,True
Finland,Hardware,2025,11,True
Portugal,Hardware,2020,2,True
Denmark,Healthcare and Life Sciences,2022,1,True
Denmark,Healthcare and Life Sciences,2024,10,True
Norway,Healthcare and Life Sciences,2020,2,True
Spain,Healthcare and Life Sciences,2026,10,False
Ireland,Healthcare and Life Sciences,2023,20,True
United States,Healthcare and Life Sciences,2017,1197,True
United Arab Emirates,Healthcare and Life Sciences,2024,4,True
Côte d'Ivoire,Healthcare and Life Sciences,2023,0,True
Russia,Healthcare and Life Sciences,2016,3,True
South Korea,Information Technology,2026,4,False
Sri Lanka,Information Technology,2019,1,True
United Arab Emirates,Information Technology,2023,52,True
Iceland,Information Technology,2021,3,True
Denmark,Information Technology,2025,22,True
Mexico,Information Technology,2017,0,True
Mexico,Information Technology,2018,0,True
Colombia,Information Technology,2019,2,True
Colombia,Information Technology,2025,0,True
Austria,Information Technology,2021,36,True
United States,Information Technology,2023,14734,True
Spain,Information Technology,2018,11,True
Israel,Lending and Investments,2016,4,True
Spain,Lending and Investments,2024,2,True
India,Lending and Investments,2025,38,True
Canada,Lending and Investments,2025,0,True
Ghana,Lending and Investments,2022,10,True
Lithuania,Manufacturing,2017,0,True
Netherlands,Manufacturing,2021,16,True
United States,Manufacturing,2024,4822,True
Norway,Manufacturing,2023,5,True
Israel,Manufacturing,2019,27,True
United Kingdom,Manufacturing,2019,19,True
United Kingdom,Manufacturing,2023,36,True
Israel,Media and Entertainment,2020,38,True
Germany,Media and Entertainment,2024,5,True
Sweden,Media and Entertainment,2018,5,True
Canada,"Military, public safety and government",2022,16,True
Poland,"Military, public safety and government",2025,1,True
Singapore,"Military, public safety and government",2020,0,True
South Korea,"Military, public safety and government",2022,7,True
Sweden,"Mobile, platforms & Internet services",2019,15,True
Indonesia,"Mobile, platforms & Internet services",2022,0,True
United States,"Mobile, platforms & Internet services",2017,1766,True
Uruguay,"Mobile, platforms & Internet services",2023,0,True
Luxembourg,"Mobile, platforms & Internet services",2018,1,True
Sri Lanka,"Mobile, platforms & Internet services",2022,0,True
Hungary,"Mobile, platforms & Internet services",2019,2,True
Denmark,"Mobile, platforms & Internet services",2025,15,True
Pakistan,"Mobile, platforms & Internet services",2017,0,True
Estonia,"Mobile, platforms & Internet services",2021,2,True
Tanzania,"Mobile, platforms & Internet services",2017,0,True
United Kingdom,NLP,2022,31,True
Hungary,NLP,2020,1,True
Vietnam,NLP,2025,2,True
Finland,NLP,2016,1,True
Belgium,NLP,2020,2,True
Iceland,NLP,2021,0,True
South Korea,Navigation and mapping,2017,1,True
Estonia,Navigation and mapping,2021,1,True
Sweden,Other,2016,5,True
Croatia,Other,2025,0,True
Spain,Other,2021,2,True
Saint Kitts and Nevis,Other,2021,0,True
Vietnam,Other,2023,0,True
Indonesia,Other,2019,3,True
New Zealand,Other,2022,0,True
United Kingdom,Other,2017,99,True
Qatar,Privacy and Security,2022,0,True
Ireland,Privacy and Security,2018,2,True
Germany,Privacy and Security,2024,2,True
Netherlands,Professional services,2016,3,True
Germany,Professional services,2020,30,True
Australia,Professional services,2016,1,True
Australia,Professional services,2021,535,True
Lebanon,Professional services,2016,0,True
Singapore,Professional services,2018,143,True
Bulgaria,Professional services,2024,2,True
Portugal,Real estate,2022,0,True
Ireland,Real estate,2020,12,True
Ireland,Real estate,2023,1,True
Netherlands,Real estate,2024,103,True
Hungary,Real estate,2023,3,True
Canada,Real estate,2019,8,True
Malaysia,Real estate,2024,3,True
Australia,Robotics,2022,17,True
Poland,Robotics,2023,2,True
Israel,Robotics,2024,18,True
India,Robotics,2026,5,False
Japan,Robotics,2025,44,True
Netherlands,Robotics,2024,2,True
Spain,Robotics,2017,2,True
Spain,Robotics,2023,2,True
Ukraine,"Sales, retail, commerce, marketing",2019,4,True
Estonia,"Sales, retail, commerce, marketing",2021,2,True
Hungary,"Sales, retail, commerce, marketing",2024,1,True
Canada,"Sales, retail, commerce, marketing",2021,151,True
Brazil,"Sales, retail, commerce, marketing",2023,7,True
United States,"Sales, retail, commerce, marketing",2020,972,True
Latvia,"Sales, retail, commerce, marketing",2021,0,True
Mexico,"Sales, retail, commerce, marketing",2018,0,True
Malta,"Sales, retail, commerce, marketing",2020,1,True
China (mainland),"Sales, retail, commerce, marketing",2026,4,False
Japan,"Sales, retail, commerce, marketing",2019,17,True
El Salvador,"Sales, retail, commerce, marketing",2025,1,True
Sweden,"Sales, retail, commerce, marketing",2017,6,True
Netherlands,Semiconductor,2025,129,True
South Korea,Simulation,2024,0,True
Tunisia,Software,2025,0,True
Peru,Software,2019,1,True
Taiwan,Software,2018,25,True
Cyprus,Software,2023,1,True
Portugal,Software,2017,19,True
Indonesia,Software,2023,9,True
Argentina,Software,2023,0,True
Poland,Software,2016,11,True
Sweden,Software,2024,96,True
Botswana,Software,2021,0,True
Iceland,Software,2020,9,True
Malaysia,Software,2018,11,True
Tajikistan,Software,2025,1,True
Thailand,Software,2018,1,True
Zimbabwe,Software,2024,1,True
India,Software,2023,2605,True
Denmark,Speech Recognition,2018,2,True
Belgium,Speech Recognition,2019,0,True
Brazil,Telecommunications,2021,6,True
Italy,Telecommunications,2024,3,True
Turkey,Telecommunications,2023,1,True
India,Telecommunications,2017,1,True
Saudi Arabia,Transportation,2022,2,True
Taiwan,Transportation,2023,2,True
South Korea,Transportation,2021,29,True
China (mainland),Transportation,2026,61,False
Australia,Transportation,2024,2,True
Hungary,Transportation,2024,1,True
Mexico,Transportation,2025,1,True
Belgium,Transportation,2021,0,True
Czechia,Transportation,2025,1,True
Turkey,Agriculture,2019,0,True
Belgium,All,2021,532,True
Austria,All,2025,106,True
Australia,All,2024,2226,True
Czechia,All,2025,94,True
Turkey,All,2018,507,True
Norway,All,2021,339,True
Portugal,All,2020,16,True
Japan,All,2018,639,True
Japan,All,2019,793,True
Philippines,All,2023,7,True
South Korea,All,2022,1605,True
New Zealand,All,2023,32,True
New Zealand,All,2025,67,True
Kuwait,All,2023,7,True
Thailand,All,2025,2,True
Sweden,All,2018,94,True
Mexico,All,2017,6,True
Germany,Biotechnology,2020,2,True
Chile,Biotechnology,2019,0,True
Italy,Biotechnology,2025,4,True
Mexico,Biotechnology,2019,0,True
China (mainland),Biotechnology,2018,47,True
Poland,Biotechnology,2020,2,True
Japan,Biotechnology,2017,100,True
Australia,Biotechnology,2018,1,True
Australia,Biotechnology,2024,1,True
United States,Biotechnology,2019,1334,True
Finland,Biotechnology,2020,1,True
India,Community and Lifestyle,2017,1,True
Kenya,Community and Lifestyle,2024,0,True
Germany,Community and Lifestyle,2023,11,True
Brazil,Community and Lifestyle,2023,31,True
Israel,Community and Lifestyle,2019,11,True
Finland,Computer Vision,2019,2,True
Serbia,Computer Vision,2018,0,True
Japan,Computer Vision,2023,36,True
Spain,Computer Vision,2020,11,True
Sweden,Computer Vision,2019,0,True
Saint Kitts and Nevis,Consumer goods,2021,0,True
Australia,Consumer goods,2023,7,True
United Kingdom,Consumer goods,2026,8,False
Brazil,Consumer goods,2018,0,True
Canada,Cyber Security,2022,7,True
South Korea,Cyber Security,2019,3,True
South Korea,Cyber Security,2022,4,True
India,Cyber Security,2020,0,True
China (mainland),Cyber Security,2017,26,True
Algeria,Data and analytics,2022,0,True
France,Data and analytics,2025,834,True
Pakistan,Data and analytics,2020,0,True
Peru,Data and analytics,2019,1,True
Saudi Arabia,Data and analytics,2018,2,True
Jamaica,Data and analytics,2025,50,True
Sri Lanka,Data and analytics,2017,2,True
Sri Lanka,Data and analytics,2024,7,True
Sri Lanka,Data and analytics,2025,2,True
Kenya,Data and analytics,2025,1,True
Iceland,Data and analytics,2016,3,True
Taiwan,Education,2023,6,True
Taiwan,Education,2025,0,True
Mongolia,Education,2021,0,True
Mauritius,Education,2021,0,True
Ireland,Education,2024,0,True
Italy,Education,2024,0,True
Finland,Education,2016,0,True
Spain,Education,2024,3,True
Malta,Education,2020,1,True
Sri Lanka,Energy and natural resources,2024,0,True
Austria,Energy and natural resources,2024,5,True
Italy,Energy and natural resources,2020,1,True
France,Energy and natural resources,2023,12,True
India,Energy and natural resources,2023,7,True
Estonia,Energy and natural resources,2024,3,True
Singapore,Energy and natural resources,2018,1,True
Norway,Finance,2018,4,True
Poland,Finance,2020,3,True
Thailand,Finance,2016,0,True
Qatar,Finance,2020,0,True
Belgium,Finance,2019,3,True
Portugal,Finance,2017,17,True
Hungary,Finance,2020,0,True
Spain,Finance,2023,50,True
Germany,Finance,2021,37,True
Netherlands,Finance,2024,50,True
Philippines,Finance,2023,6,True
Argentina,Finance,2017,4,True
China (mainland),Finance,2016,114,True
United States,Gaming,2022,257,True
Canada,Gaming,2019,4,True
Brazil,General purpose,2020,98,True
Tunisia,General purpose,2022,2,True
Vietnam,General purpose,2018,0,True
Slovenia,General purpose,2016,0,True
Israel,General purpose,2023,316,True
Japan,General purpose,2024,289,True
United Kingdom,General purpose,2017,233,True
Nigeria,General purpose,2023,2,True
Finland,General purpose,2022,76,True
Australia,General purpose,2021,617,True
Taiwan,General purpose,2021,68,True
Panama,General purpose,2025,15,True
Côte d'Ivoire,General purpose,2023,0,True
Jordan,General purpose,2024,0,True
United Arab Emirates,Hardware,2020,1,True
South Korea,Hardware,2026,5,False
Taiwan,Hardware,2025,18,True
Hungary,Hardware,2025,1,True
India,Hardware,2022,260,True
Malaysia,Hardware,2020,2,True
Romania,Hardware,2025,3,True
China (mainland),Hardware,2021,1601,True
South Africa,Hardware,2019,2,True
Finland,Hardware,2023,5,True
Switzerland,Hardware,2024,51,True
Saudi Arabia,Healthcare and Life Sciences,2017,1,True
Netherlands,Healthcare and Life Sciences,2025,4,True
Denmark,Healthcare and Life Sciences,2025,10,True
Sweden,Healthcare and Life Sciences,2022,5,True
Norway,Healthcare and Life Sciences,2019,2,True
New Zealand,Healthcare and Life Sciences,2020,1,True
New Zealand,Healthcare and Life Sciences,2023,5,True
Hungary,Healthcare and Life Sciences,2022,3,True
Austria,Healthcare and Life Sciences,2016,1,True
South Korea,Healthcare and Life Sciences,2026,4,False
Poland,Information Technology,2026,2,False
Bulgaria,Information Technology,2023,0,True
Bulgaria,Information Technology,2024,3,True
Iran,Information Technology,2020,0,True
Israel,Information Technology,2021,652,True
Saudi Arabia,Information Technology,2025,37,True
Czechia,Information Technology,2024,8,True
Austria,Information Technology,2022,13,True
Seychelles,Information Technology,2016,0,True
United States,Information Technology,2024,17912,True
Italy,Information Technology,2016,2,True
China (mainland),Information Technology,2020,907,True
Serbia,Information Technology,2019,0,True
Sweden,Information Technology,2022,18,True
Hungary,Information Technology,2018,5,True
Spain,Information Technology,2024,19,True
France,Lending and Investments,2021,1,True
Austria,Lending and Investments,2024,3,True
Australia,Manufacturing,2021,1,True
Spain,Manufacturing,2025,6,True
Italy,Manufacturing,2025,10,True
China (mainland),Manufacturing,2021,684,True
India,Manufacturing,2017,3,True
Switzerland,Manufacturing,2019,4,True
Germany,Manufacturing,2023,82,True
United Arab Emirates,Manufacturing,2020,1,True
Taiwan,Manufacturing,2024,0,True
Israel,Manufacturing,2024,30,True
Slovakia,Manufacturing,2017,6,True
Germany,Media and Entertainment,2017,16,True
Sri Lanka,Media and Entertainment,2017,2,True
Denmark,Media and Entertainment,2017,31,True
Taiwan,Media and Entertainment,2019,0,True
Japan,Media and Entertainment,2018,8,True
Israel,"Military, public safety and government",2018,3,True
Israel,"Military, public safety and government",2024,21,True
Switzerland,"Military, public safety and government",2022,3,True
Lebanon,"Mobile, platforms & Internet services",2016,0,True
Colombia,"Mobile, platforms & Internet services",2022,2,True
Thailand,"Mobile, platforms & Internet services",2016,0,True
United States,"Mobile, platforms & Internet services",2020,2718,True
Iceland,"Mobile, platforms & Internet services",2022,1,True
Egypt,"Mobile, platforms & Internet services",2022,0,True
Sri Lanka,"Mobile, platforms & Internet services",2023,2,True
Denmark,"Mobile, platforms & Internet services",2018,148,True
Denmark,"Mobile, platforms & Internet services",2024,5,True
Austria,"Mobile, platforms & Internet services",2024,1,True
Singapore,"Mobile, platforms & Internet services",2017,22,True
Estonia,"Mobile, platforms & Internet services",2022,1,True
South Korea,"Mobile, platforms & Internet services",2017,4,True
South Korea,"Mobile, platforms & Internet services",2024,78,True
Oman,"Mobile, platforms & Internet services",2025,0,True
Taiwan,"Mobile, platforms & Internet services",2016,4,True
Japan,NLP,2023,2,True
Japan,NLP,2025,11,True
Portugal,NLP,2023,3,True
Poland,NLP,2018,0,True
Israel,NLP,2024,311,True
Mongolia,NLP,2018,0,True
Cambodia,NLP,2018,0,True
United States,NLP,2022,187,True
Austria,NLP,2025,1,True
United States,Navigation and mapping,2020,82,True
Israel,Navigation and mapping,2022,4,True
New Zealand,Navigation and mapping,2023,0,True
Switzerland,Navigation and mapping,2019,5,True
Philippines,Other,2022,0,True
Japan,Other,2022,9,True
Denmark,Other,2024,5,True
France,Other,2020,40,True
Luxembourg,Other,2021,0,True
Singapore,Other,2024,693,True
Saudi Arabia,Other,2025,3,True
Portugal,Other,2021,2,True
Zambia,Other,2022,0,True
South Korea,Privacy and Security,2019,5,True
Côte d'Ivoire,Privacy and Security,2024,0,True
United Kingdom,Privacy and Security,2020,92,True
Netherlands,Privacy and Security,2023,27,True
United States,Privacy and Security,2024,5239,True
China (mainland),Privacy and Security,2017,54,True
Iceland,Privacy and Security,2022,3,True
Sweden,Professional services,2019,5,True
Estonia,Professional services,2023,2,True
Ireland,Professional services,2024,1,True
Philippines,Professional services,2023,0,True
Colombia,Professional services,2023,0,True
Ireland,Real estate,2021,0,True
Israel,Real estate,2023,15,True
Netherlands,Real estate,2020,1,True
Malaysia,Robotics,2024,0,True
Austria,Robotics,2023,0,True
Israel,Robotics,2021,12,True
Israel,Robotics,2026,900,False
Kuwait,Robotics,2023,4,True
China (mainland),Robotics,2024,201,True
Qatar,"Sales, retail, commerce, marketing",2020,0,True
South Korea,"Sales, retail, commerce, marketing",2017,15,True
Canada,"Sales, retail, commerce, marketing",2019,135,True
Saudi Arabia,"Sales, retail, commerce, marketing",2018,0,True
South Africa,"Sales, retail, commerce, marketing",2018,0,True
Netherlands,"Sales, retail, commerce, marketing",2019,8,True
Turkey,"Sales, retail, commerce, marketing",2022,23,True
Norway,"Sales, retail, commerce, marketing",2022,2,True
Japan,"Sales, retail, commerce, marketing",2017,32,True
Japan,"Sales, retail, commerce, marketing",2022,14,True
Singapore,"Sales, retail, commerce, marketing",2018,77,True
United Kingdom,Simulation,2022,0,True
Netherlands,Software,2018,47,True
Taiwan,Software,2025,53,True
United Kingdom,Software,2020,1365,True
Hungary,Software,2023,16,True
Mauritius,Software,2022,2,True
Latvia,Software,2022,1,True
Iceland,Software,2025,3,True
Chile,Software,2018,7,True
Germany,Software,2018,174,True
Switzerland,Software,2016,5,True
Russia,Software,2018,6,True
India,Software,2018,388,True
Spain,Software,2025,1207,True
Canada,Speech Recognition,2018,1,True
Canada,Speech Recognition,2019,1,True
Ireland,Speech Recognition,2016,0,True
Cyprus,Sports,2018,1,True
Brazil,Sports,2023,0,True
Malaysia,Telecommunications,2020,2,True
Sweden,Telecommunications,2024,0,True
Singapore,Transportation,2017,1,True
Bulgaria,Transportation,2023,3,True
Vietnam,Transportation,2022,0,True
Chile,Transportation,2019,0,True
Chile,Transportation,2022,0,True
Egypt,Transportation,2020,0,True
Turkey,Transportation,2021,3,True
China (mainland),Transportation,2019,290,True
China (mainland),Transportation,2024,3895,True
Hungary,Transportation,2025,0,True
India,Transportation,2019,14,True
Russia,Transportation,2018,1,True
Switzerland,Agriculture,2016,2,True
Algeria,Agriculture,2022,0,True
United States,Agriculture,2022,255,True
South Africa,Agriculture,2022,1,True
Spain,Agriculture,2025,2,True
Uganda,Agriculture,2020,0,True
Kenya,Agriculture,2024,5,True
Lebanon,All,2021,0,True
Austria,All,2016,4,True
Dominican Republic,All,2023,2,True
Peru,All,2024,0,True
Norway,All,2024,201,True
Bulgaria,All,2019,2,True
Iceland,All,2019,14,True
Chile,All,2019,32,True
Tanzania,All,2017,0,True
Belarus,All,2022,0,True
Switzerland,All,2020,250,True
Indonesia,All,2025,12,True
China (mainland),Biotechnology,2016,120,True
Switzerland,Biotechnology,2017,7,True
Israel,Biotechnology,2016,11,True
Canada,Biotechnology,2019,17,True
United Kingdom,Biotechnology,2021,35,True
United Kingdom,Community and Lifestyle,2021,39,True
Norway,Community and Lifestyle,2021,1,True
India,Community and Lifestyle,2021,7,True
Netherlands,Community and Lifestyle,2016,0,True
Netherlands,Community and Lifestyle,2022,1,True
Germany,Community and Lifestyle,2017,5,True
Australia,Community and Lifestyle,2024,2,True
United Arab Emirates,Community and Lifestyle,2023,5,True
Czechia,Community and Lifestyle,2018,0,True
Brazil,Community and Lifestyle,2025,1,True
New Zealand,Community and Lifestyle,2023,13,True
Austria,Computer Vision,2016,1,True
Austria,Computer Vision,2017,1,True
China (mainland),Computer Vision,2023,16,True
India,Computer Vision,2017,2,True
Poland,Computer Vision,2024,1,True
Netherlands,Computer Vision,2019,2,True
Hungary,Computer Vision,2022,0,True
Switzerland,Computer Vision,2022,33,True
United Arab Emirates,Computer Vision,2018,1,True
Italy,Computer Vision,2019,1,True
Sweden,Consumer goods,2019,3,True
Ireland,Consumer goods,2024,0,True
Portugal,Consumer goods,2024,2,True
Switzerland,Consumer goods,2017,7,True
India,Consumer goods,2018,322,True
Kenya,Consumer goods,2024,0,True
Chile,Consumer goods,2019,1,True
Colombia,Consumer goods,2023,3,True
Italy,Consumer goods,2016,1,True
Switzerland,Cyber Security,2019,150,True
Switzerland,Cyber Security,2020,1,True
Denmark,Cyber Security,2023,0,True
Lebanon,Data and analytics,2016,1,True
Saint Kitts and Nevis,Data and analytics,2021,0,True
Denmark,Data and analytics,2020,34,True
Dominican Republic,Data and analytics,2020,0,True
Chile,Data and analytics,2019,6,True
Czechia,Data and analytics,2018,2,True
Romania,Data and analytics,2017,0,True
Estonia,Data and analytics,2022,32,True
Spain,Data and analytics,2022,399,True
Norway,Data and analytics,2023,68,True
Norway,Data and analytics,2025,48,True
Turkey,Data and analytics,2023,30,True
Serbia,Data and analytics,2020,0,True
Serbia,Data and analytics,2021,0,True
Australia,Data and analytics,2016,24,True
Taiwan,Data and analytics,2026,4,False
South Africa,Data and analytics,2016,0,True
Germany,Education,2016,0,True
Germany,Education,2022,31,True
Germany,Education,2025,6,True
South Africa,Education,2021,1,True
Nigeria,Education,2025,1,True
Italy,Education,2022,7,True
Spain,Education,2017,0,True
Netherlands,Energy and natural resources,2016,0,True
Spain,Energy and natural resources,2026,1,False
Australia,Energy and natural resources,2017,2,True
Canada,Energy and natural resources,2018,9,True
Canada,Energy and natural resources,2025,39,True
Colombia,Energy and natural resources,2025,0,True
Japan,Energy and natural resources,2026,0,False
Nigeria,Finance,2022,2,True
Sweden,Finance,2018,0,True
United Kingdom,Finance,2025,228,True
Philippines,Finance,2025,90,True
Bolivia,Finance,2026,0,False
Côte d'Ivoire,Finance,2022,0,True
Tunisia,Finance,2019,0,True
Ukraine,Finance,2019,3,True
Australia,Finance,2019,2,True
Singapore,Gaming,2025,14,True
India,Gaming,2017,1,True
Norway,Gaming,2025,0,True
United Kingdom,Gaming,2019,3,True
United Kingdom,Gaming,2020,31,True
Spain,Gaming,2023,4,True
Argentina,General purpose,2018,0,True
Argentina,General purpose,2023,0,True
Armenia,General purpose,2020,0,True
Estonia,General purpose,2017,1,True
Slovenia,General purpose,2017,0,True
Japan,General purpose,2022,82,True
United Arab Emirates,General purpose,2016,0,True
China (mainland),General purpose,2017,3403,True
United Kingdom,General purpose,2016,591,True
Iceland,General purpose,2025,3,True
Germany,General purpose,2020,174,True
Slovakia,General purpose,2017,6,True
Slovakia,General purpose,2021,5,True
Italy,General purpose,2026,10,False
Belgium,General purpose,2025,43,True
Jordan,General purpose,2025,0,True
New Zealand,Hardware,2021,1052,True
Singapore,Hardware,2020,32,True
Latvia,Hardware,2021,0,True
Austria,Hardware,2019,0,True
Bangladesh,Hardware,2024,0,True
Finland,Hardware,2020,25,True
Brazil,Hardware,2017,2,True
Nigeria,Hardware,2026,3,False
Singapore,Healthcare and Life Sciences,2023,63,True
United Kingdom,Healthcare and Life Sciences,2018,73,True
Saudi Arabia,Healthcare and Life Sciences,2019,3,True
Kazakhstan,Healthcare and Life Sciences,2024,1,True
Chile,Healthcare and Life Sciences,2021,3,True
United States,Healthcare and Life Sciences,2018,629,True
Estonia,Healthcare and Life Sciences,2023,0,True
Romania,Healthcare and Life Sciences,2020,0,True
China (mainland),Healthcare and Life Sciences,2018,384,True
Poland,Information Technology,2021,6,True
Germany,Information Technology,2022,421,True
Japan,Information Technology,2023,185,True
Estonia,Information Technology,2017,1,True
Estonia,Information Technology,2024,9,True
Saudi Arabia,Information Technology,2017,13,True
Kazakhstan,Information Technology,2020,0,True
Netherlands,Information Technology,2023,210,True
Sweden,Information Technology,2026,1,False
Hungary,Information Technology,2021,0,True
Taiwan,Information Technology,2020,10,True
Norway,Information Technology,2025,6,True
Israel,Lending and Investments,2021,2,True
Switzerland,Lending and Investments,2026,0,False
United Arab Emirates,Lending and Investments,2023,5,True
Singapore,Lending and Investments,2023,1,True
United States,Lending and Investments,2024,401,True
Japan,Manufacturing,2016,15,True
Ukraine,Manufacturing,2024,1,True
Spain,Manufacturing,2017,1,True
Luxembourg,Manufacturing,2018,0,True
Canada,Manufacturing,2017,5,True
Sweden,Manufacturing,2022,23,True
Thailand,Manufacturing,2018,0,True
Israel,Manufacturing,2022,165,True
Spain,Media and Entertainment,2021,16,True
Germany,Media and Entertainment,2025,38,True
Hungary,Media and Entertainment,2022,0,True
United Kingdom,Media and Entertainment,2021,505,True
France,Media and Entertainment,2017,11,True
Albania,Media and Entertainment,2019,7,True
Japan,Media and Entertainment,2024,7,True
Vietnam,Media and Entertainment,2023,0,True
Lithuania,"Military, public safety and government",2024,0,True
Nigeria,"Military, public safety and government",2026,3,False
China (mainland),"Military, public safety and government",2017,2,True
France,"Military, public safety and government",2020,2,True
Singapore,"Military, public safety and government",2022,2,True
India,"Military, public safety and government",2024,0,True
United States,"Military, public safety and government",2021,929,True
Ireland,"Military, public safety and government",2019,3,True
Australia,"Military, public safety and government",2021,50,True
Chile,"Mobile, platforms & Internet services",2021,2,True
Greece,"Mobile, platforms & Internet services",2019,0,True
Romania,"Mobile, platforms & Internet services",2024,1,True
Saudi Arabia,"Mobile, platforms & Internet services",2017,1,True
Albania,"Mobile, platforms & Internet services",2024,5,True
Brazil,"Mobile, platforms & Internet services",2018,1,True
Uruguay,"Mobile, platforms & Internet services",2017,0,True
Netherlands,"Mobile, platforms & Internet services",2017,4,True
Luxembourg,"Mobile, platforms & Internet services",2023,1,True
Egypt,"Mobile, platforms & Internet services",2019,0,True
Mexico,"Mobile, platforms & Internet services",2016,1,True
Hungary,"Mobile, platforms & Internet services",2018,6,True
Ireland,"Mobile, platforms & Internet services",2021,6,True
Cyprus,"Mobile, platforms & Internet services",2020,4,True
Cyprus,"Mobile, platforms & Internet services",2023,0,True
Denmark,"Mobile, platforms & Internet services",2016,2,True
Denmark,"Mobile, platforms & Internet services",2020,3,True
Czechia,"Mobile, platforms & Internet services",2023,4,True
Slovakia,"Mobile, platforms & Internet services",2019,1,True
South Korea,"Mobile, platforms & Internet services",2026,2,False
United Kingdom,NLP,2018,10,True
Taiwan,NLP,2021,35,True
Germany,NLP,2019,3,True
Israel,NLP,2016,8,True
Israel,Navigation and mapping,2021,10,True
Germany,Navigation and mapping,2025,228,True
Switzerland,Navigation and mapping,2020,1,True
France,Navigation and mapping,2018,5,True
